TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed
2015-02-28 10:48:11.0000,0.0,0.0,2015-02-28 10:51:37.0000,0.0,0.0,2.4307037840853125,-0.6200506910597835,0.6409599875780392,-2.2618250391101107
2015-02-28 10:48:11.0006,0.2,0.0,2015-02-28 10:51:37.0006,-0.1,0.0,2.085480237604569,-0.28341041047815274,0.6653191634663793,-1.9614430324401229
2015-02-28 10:48:11.0012,0.2,0.1,2015-02-28 10:51:37.0012,-0.4,0.2,1.7487198372095878,0.05056207583157932,0.6893835439285916,-1.6619847017598672
2015-02-28 10:48:11.0018,0.1,0.2,2015-02-28 10:51:37.0018,-0.6,0.4,1.425768023093549,0.3780401108549924,0.7126787879738863,-1.3666199896177222
2015-02-28 10:48:11.0024,0.1,0.4,2015-02-28 10:51:37.0024,-0.7,0.8,1.1217677778139026,0.6953182377050441,0.7345530142488325,-1.0785754523678366
2015-02-28 10:48:11.0030,0.0,0.6,2015-02-28 10:51:37.0030,-0.5,1.0,0.841582699626268,0.9988796356605056,0.7541413523418702,-0.801064682966716
2015-02-28 10:48:11.0035,-0.2,0.8,2015-02-28 10:51:37.0035,-0.2,1.0,0.589709317719975,1.2854603668562716,0.7703572207498842,-0.5372244822864577
2015-02-28 10:48:11.0041,-0.4,1.0,2015-02-28 10:51:37.0041,-0.2,0.9,0.3701788034158279,1.5521087266579197,0.7819132988683962,-0.2900596967663847
2015-02-28 10:48:11.0047,-0.9,1.1,2015-02-28 10:51:37.0047,-0.3,0.8,0.18645052402658566,1.796237657400949,0.7873718112117374,-0.06239795321770281
2015-02-28 10:48:11.0053,-1.4,1.2,2015-02-28 10:51:37.0053,-0.4,0.6,0.04130210544481358,2.0156681094109823,0.7852207908105132,0.143146555004119
2015-02-28 10:48:11.0059,-1.5,1.4,2015-02-28 10:51:37.0059,-0.1,0.4,-0.06327753630280934,2.208661444782192,0.7739706417578027,0.3242030299844292
2015-02-28 10:48:11.0065,-1.4,1.4,2015-02-28 10:51:37.0065,0.3,0.3,-0.12618476044389174,2.373939442327603,0.7522633802449324,0.47867192072012205
2015-02-28 10:48:11.0071,-1.3,1.4,2015-02-28 10:51:37.0071,0.7,0.5,-0.14728002306931015,2.510691120409991,0.7189852499910246,0.6047552120450305
2015-02-28 10:48:11.0077,-1.0,1.4,2015-02-28 10:51:37.0077,0.8,0.6,-0.1274426641348744,2.618566396816795,0.6733722922594867,0.7009930707969763
2015-02-28 10:48:11.0083,-0.9,1.3,2015-02-28 10:51:37.0083,0.7,0.7,-0.06859691578072719,2.697657478980583,0.615098558735074,0.7663092811744102
2015-02-28 10:48:11.0089,-1.0,1.2,2015-02-28 10:51:37.0089,0.4,0.7,0.026294119644666512,2.7484697069928687,0.5443384513348727,0.8000659680714446
2015-02-28 10:48:11.0094,-1.4,1.1,2015-02-28 10:51:37.0094,0.0,0.7,0.15326869121473613,2.7718842199900187,0.4617979896375813,0.8021261751254948
2015-02-28 10:48:11.0100,-1.6,1.1,2015-02-28 10:51:37.0100,-0.3,0.7,0.3074423174049126,2.7691151642524137,0.36871385581807103,0.7729211819152456
2015-02-28 10:48:11.0106,-1.6,1.3,2015-02-28 10:51:37.0106,-0.5,0.8,0.4831202720066791,2.7416641341413515,0.2668228079388607,0.7135180230542557
2015-02-28 10:48:11.0112,-1.5,1.2,2015-02-28 10:51:37.0112,-0.5,0.9,0.6739464071453268,2.6912741521039347,0.1583066273831405,0.6256814274994943
2015-02-28 10:48:11.0118,-1.2,1.3,2015-02-28 10:51:37.0118,-0.5,1.1,0.8730861552884411,2.6198848934328733,0.04571878982151121,0.5119233138901559
2015-02-28 10:48:11.0124,-0.9,1.3,2015-02-28 10:51:37.0124,-0.3,1.2,1.073438854116545,2.529590254081336,-0.06810133246613675,0.3755321769588779
2015-02-28 10:48:11.0130,-0.2,1.3,2015-02-28 10:51:37.0130,-0.2,1.4,1.267871471133708,2.4225989043580585,-0.1801221900562814,0.2205743998082179
2015-02-28 10:48:11.0136,0.3,1.1,2015-02-28 10:51:37.0136,-0.2,1.7,1.4494629238731536,2.3011982234176354,-0.2872186342794509,0.05185996112093962
2015-02-28 10:48:11.0142,0.7,1.0,2015-02-28 10:51:37.0142,-0.3,1.7,1.6117460715539436,2.167721946759618,-0.3862734395736042,-0.12513363060756702
2015-02-28 10:48:11.0148,0.9,0.9,2015-02-28 10:51:37.0148,-0.2,1.5,1.7489336088042626,2.024521895187696,-0.4742803843028926,-0.3043829112719685
2015-02-28 10:48:11.0153,0.8,0.9,2015-02-28 10:51:37.0153,-0.3,1.1,1.8561148353938979,1.8739441481158576,-0.5484474403369642,-0.47948575749951733
2015-02-28 10:48:11.0159,0.5,0.9,2015-02-28 10:51:37.0159,-0.4,0.7,1.9294125666582957,1.7183098547373625,-0.6062981819254805,-0.6438702666008368
2015-02-28 10:48:11.0165,0.4,0.7,2015-02-28 10:51:37.0165,-0.4,0.3,1.9660928630415682,1.5599005276901818,-0.6457689219762207,-0.7910365113473916
2015-02-28 10:48:11.0171,0.3,0.7,2015-02-28 10:51:37.0171,-0.5,0.0,1.9646241335504184,1.4009472164858034,-0.665298472580663,-0.914818465663778
2015-02-28 10:48:11.0177,0.1,0.7,2015-02-28 10:51:37.0177,-0.7,-0.2,1.9246858682579762,1.2436224911318339,-0.6639069423760041,-1.0096506436535357
2015-02-28 10:48:11.0183,0.0,0.8,2015-02-28 10:51:37.0183,-0.8,-0.3,1.8471303906478393,1.0900336997428757,-0.6412597606498932,-1.0708228192274
2015-02-28 10:48:11.0189,-0.3,0.9,2015-02-28 10:51:37.0189,-0.7,-0.4,1.733903490463989,0.9422155167451218,-0.5977132969108903,-1.0947065898511648
2015-02-28 10:48:11.0195,-0.7,0.9,2015-02-28 10:51:37.0195,-0.5,-0.5,1.5879316338283485,0.8021194721719858,-0.5343391520251427,-1.0789392709696863
2015-02-28 10:48:11.0201,-0.9,1.0,2015-02-28 10:51:37.0201,-0.4,-0.5,1.412984643859421,0.6715981140317127,-0.4529254174894929,-1.0225533272886262
2015-02-28 10:48:11.0207,-1.1,1.0,2015-02-28 10:51:37.0207,-0.2,-0.4,1.2135232027544451,0.5523818406528992,-0.35595465029813805,-0.9260429764077265
