TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed
2014-05-26 12:40:40.0000,0.0,0.0,2014-05-26 12:44:06.0000,0.0,0.0,2014-05-26 12:53:06.0000,0.0,0.0,0.8712691235942516,0.9600963901767443,0.5314974718133512,0.4343660392464485,0.38229170364978154,-0.19693992595566798
2014-05-26 12:40:40.0006,0.0,-0.2,2014-05-26 12:44:06.0006,0.0,-0.3,2014-05-26 12:53:06.0006,0.0,0.0,0.8927605305815901,0.986335421756146,0.6062892034038494,0.4882011575664751,0.4596731111741492,-0.07070565101331552
2014-05-26 12:40:40.0012,-0.3,-0.2,2014-05-26 12:44:06.0012,-0.2,-0.4,2014-05-26 12:53:06.0012,-0.1,0.1,0.9140990898245006,1.0116898714223361,0.6811363010912073,0.5431894286944691,0.536055035209322,0.05490491052399827
2014-05-26 12:40:40.0018,-0.2,-0.1,2014-05-26 12:44:06.0018,-0.1,-0.2,2014-05-26 12:53:06.0018,0.0,0.2,0.935067694217904,1.0352895800237238,0.7552746337311036,0.5991707141867749,0.6104419198069634,0.17859038695672547
2014-05-26 12:40:40.0024,-0.2,0.0,2014-05-26 12:44:06.0024,0.0,-0.1,2014-05-26 12:53:06.0024,0.2,0.4,0.9554333236831719,1.05634727918444,0.827934811900703,0.6559097900166697,0.6818757491238419,0.29908178714894273
2014-05-26 12:40:40.0030,-0.1,0.2,2014-05-26 12:44:06.0030,0.3,0.0,2014-05-26 12:53:06.0030,0.5,0.7,0.9749500194069773,1.074196972803562,0.8983552219228965,0.7130891552886566,0.7494585700131011,0.41517416796281503
2014-05-26 12:40:40.0035,0.0,0.4,2014-05-26 12:44:06.0035,0.6,0.1,2014-05-26 12:53:06.0035,0.7,0.8,0.9933643255796785,1.0883278995503822,0.965795858258306,0.7703070699767398,0.8123748017130623,0.525756856489164
2014-05-26 12:40:40.0041,0.1,0.4,2014-05-26 12:44:06.0041,0.7,0.2,2014-05-26 12:53:06.0041,1.0,1.0,1.010423227012734,1.0984121282793902,1.029552498474294,0.8270809943437243,0.869912684468762,0.6298411630336664
2014-05-26 12:40:40.0047,0.1,0.3,2014-05-26 12:44:06.0047,0.8,0.3,2014-05-26 12:53:06.0047,1.3,1.3,1.0258842790437916,1.1043238429884918,1.088970471619912,0.8828559932867387,0.9214839761671552,0.7265843832109737
2014-05-26 12:40:40.0053,0.2,0.4,2014-05-26 12:44:06.0053,1.0,0.5,2014-05-26 12:53:06.0053,1.5,1.5,1.0395273464513586,1.106148658722338,1.143457129458892,0.9370172094882677,0.9666408481669794,0.8153088518408577
2014-05-26 12:40:40.0059,0.2,0.4,2014-05-26 12:44:06.0059,1.0,0.6,2014-05-26 12:53:06.0059,1.7,1.7,1.0511671607849282,1.1041818260074814,1.1924921605766508,0.9889052050494017,1.0050888916005152,0.8955148984400993
2014-05-26 12:40:40.0065,0.4,0.4,2014-05-26 12:44:06.0065,1.1,0.7,2014-05-26 12:53:06.0065,1.8,1.8,1.0606657678861275,1.0989148256488679,1.2356350588972667,1.037832837213111,1.0366952395959252,0.9668867861871792
2014-05-26 12:40:40.0071,0.5,0.4,2014-05-26 12:44:06.0071,1.1,0.9,2014-05-26 12:53:06.0071,1.8,1.7,1.067943862028559,1.091010551292315,1.2725293291814792,1.0831023975418503,1.0614910389276013,1.0292911120481127
2014-05-26 12:40:40.0077,0.6,0.3,2014-05-26 12:44:06.0077,1.0,0.6,2014-05-26 12:53:06.0077,1.6,1.7,1.0729899964591438,1.0812680039383258,1.3029033484993013,1.124022023782366,1.0796678472021157,1.0827676917795956
2014-05-26 12:40:40.0083,0.7,0.1,2014-05-26 12:44:06.0083,1.0,0.7,2014-05-26 12:53:06.0083,1.7,1.7,1.0758667463806117,1.0705781755431258,1.3265681700258494,1.159920872674364,1.0915679501071853,1.1275135892012638
2014-05-26 12:40:40.0089,0.6,-0.1,2014-05-26 12:44:06.0089,0.9,0.3,2014-05-26 12:53:06.0089,1.5,1.3,1.0767131058937052,1.0598735401069959,1.3434129124429637,1.1901631458068695,1.0976690348644684,1.163861584635763
2014-05-26 12:40:40.0094,0.2,-0.4,2014-05-26 12:44:06.0094,0.6,0.2,2014-05-26 12:53:06.0094,1.1,1.1,1.0757427293526518,1.050074213761904,1.3533986801820503,1.2141616512055518,1.0985640681422495,1.192254923162876
2014-05-26 12:40:40.0100,0.0,-0.4,2014-05-26 12:44:06.0100,0.3,0.0,2014-05-26 12:53:06.0100,0.8,0.9,1.0732380404356123,1.0420342670391916,1.3565521621016987,1.2313919875823065,1.0949375670448873,1.2132205555946405
2014-05-26 12:40:40.0106,0.2,-0.5,2014-05-26 12:44:06.0106,0.4,0.1,2014-05-26 12:53:06.0106,0.8,0.9,1.0695406370659173,1.0364917528840456,1.3529601066421526,1.2414085027435466,1.087539679365491,1.2273431959370564
2014-05-26 12:40:40.0112,0.1,-0.4,2014-05-26 12:44:06.0112,0.5,0.3,2014-05-26 12:53:06.0112,0.8,1.0,1.0650387049248538,1.0340256962785974,1.342765711029536,1.243862825389213,1.0771595570603025,1.2352423001808999
2014-05-26 12:40:40.0118,0.1,-0.3,2014-05-26 12:44:06.0118,0.7,0.4,2014-05-26 12:53:06.0118,0.9,1.2,1.0601522579486242,1.0350226203006005,1.3261675670900215,1.2385250457244816,1.0645993895144026,1.2375535277050882
2014-05-26 12:40:40.0124,0.1,-0.3,2014-05-26 12:44:06.0124,0.8,0.6,2014-05-26 12:53:06.0124,0.9,1.3,1.05531698527353,1.0396542889817746,1.3034212407477188,1.2253066971431308,1.0506501915454172,1.234915476691118
2014-05-26 12:40:40.0130,0.2,-0.2,2014-05-26 12:44:06.0130,0.9,0.8,2014-05-26 12:53:06.0130,1.1,1.6,1.0509673792435272,1.047867385920954,1.2748429655026372,1.2042838009618824,1.0360700919568158,1.2279616410475098
2014-05-26 12:40:40.0136,0.1,0.0,2014-05-26 12:44:06.0136,1.1,0.9,2014-05-26 12:53:06.0136,1.2,1.8,1.0475197028596595,1.059384944707546,1.2408144405629218,1.1757175763788807,1.02156552039566,1.217316766946446
2014-05-26 12:40:40.0142,0.2,0.0,2014-05-26 12:44:06.0142,1.2,1.0,2014-05-26 12:53:06.0142,1.2,1.9,1.0453552487106132,1.0737185763554735,1.2017874231479295,1.1400701057563116,1.007775397578691,1.2035962035734464
2014-05-26 12:40:40.0148,0.2,0.2,2014-05-26 12:44:06.0148,1.2,1.0,2014-05-26 12:53:06.0148,1.3,2.0,1.044804255542706,1.0901899421525891,1.1582867217288586,1.0980123268264612,0.9952582285779258,1.18740651516249
2014-05-26 12:40:40.0153,0.4,0.2,2014-05-26 12:44:06.0153,1.1,0.9,2014-05-26 12:53:06.0153,1.2,2.1,1.0461307905781854,1.1079595322026983,1.1109103391714843,1.0504221864801901,0.9844818944489738,1.1693455791127185
2014-05-26 12:40:40.0159,0.5,0.3,2014-05-26 12:44:06.0159,0.9,0.7,2014-05-26 12:53:06.0159,1.2,2.0,1.0495188841911365,1.1260606524865897,1.0603258670784386,0.9983715671275122,0.9758159271072545,1.1500006235130498
2014-05-26 12:40:40.0165,0.5,0.3,2014-05-26 12:44:06.0165,0.7,0.8,2014-05-26 12:53:06.0165,1.1,2.0,1.055060240758018,1.1434365915547813,1.0072627415509412,0.9431015688097587,0.9695261116108911,1.1299431079006883
2014-05-26 12:40:40.0171,0.2,0.0,2014-05-26 12:44:06.0171,0.5,0.5,2014-05-26 12:53:06.0171,1.1,1.7,1.0627439765523636,1.158979199477457,0.9525005437627508,0.8859867583655253,0.9657713568732587,1.1097199572508512
2014-05-26 12:40:40.0177,-0.2,0.0,2014-05-26 12:44:06.0177,0.0,0.1,2014-05-26 12:53:06.0177,0.9,1.4,1.0724490575059815,1.1715675020346774,0.8968540609343933,0.8284899599971224,0.9646028795210464,1.0898413408491745
2014-05-26 12:40:40.0183,-0.4,0.0,2014-05-26 12:44:06.0183,0.0,0.0,2014-05-26 12:53:06.0183,0.8,1.2,1.0839403639441598,1.1801053844321738,0.841156221780223,0.7721099692986555,0.965965830785401,1.0707658438724896
2014-05-26 12:40:40.0189,-0.5,0.0,2014-05-26 12:44:06.0189,-0.2,0.0,2014-05-26 12:53:06.0189,0.7,1.1,1.096869464525634,1.1835576837100794,0.7862402136742721,0.718325128547334,0.9697035408918193,1.0528843932410488
2014-05-26 12:40:40.0195,-0.3,0.1,2014-05-26 12:44:06.0195,-0.1,0.0,2014-05-26 12:53:06.0195,0.7,1.0,1.1107810996825493,1.1809841541114452,0.7329220369724818,0.6685359026088891,0.9755645367794156,1.0365045692216106
2014-05-26 12:40:40.0201,-0.2,0.1,2014-05-26 12:44:06.0201,0.0,0.0,2014-05-26 12:53:06.0201,0.8,1.1,1.1251259981955017,1.1715707442634682,0.6819844722303458,0.6240094212575441,0.9832123895027296,1.0218369189121248
2014-05-26 12:40:40.0207,0.0,0.1,2014-05-26 12:44:06.0207,0.0,0.1,2014-05-26 12:53:06.0207,1.0,1.2,1.139280039091394,1.1546575443004485,0.6341630109190775,0.5858285162842545,0.9922382689311532,1.0089846231955495
2014-05-26 12:40:40.0212,0.2,0.1,2014-05-26 12:44:06.0212,0.0,0.0,2014-05-26 12:53:06.0212,1.1,1.3,1.1525690623171134,1.1297627127127605,0.5901338455350555,0.5548472497781082,1.0021758546681119,0.9979374459837829
2014-05-26 12:40:40.0218,0.5,0.1,2014-05-26 12:44:06.0218,0.1,0.2,2014-05-26 12:53:06.0218,1.3,1.4,1.1642979674287701,1.0966017182215735,0.5505036296731994,0.5316544299962817,1.012518023927111,0.9885704240139028
2014-05-26 12:40:40.0224,0.6,0.1,2014-05-26 12:44:06.0224,0.3,0.0,2014-05-26 12:53:06.0224,1.4,1.4,1.173782221796707,1.0551013318878535,0.5158004544500412,0.5165462013318293,1.0227345627417241,0.9806473367947859
2014-05-26 12:40:40.0230,0.8,0.0,2014-05-26 12:44:06.0230,0.3,0.0,2014-05-26 12:53:06.0230,1.5,1.5,1.1803795901683298,1.0054079639552642,0.4864653599963197,0.5095084869714002,1.0322900641984347,0.9738286935317703
2014-05-26 12:40:40.0236,0.9,-0.1,2014-05-26 12:44:06.0236,0.3,0.1,2014-05-26 12:53:06.0236,1.4,1.4,1.1835198276721826,0.9478901451838498,0.4628437221639384,0.5102098369227887,1.0406612011058176,0.9676838049332055
2014-05-26 12:40:40.0242,0.9,-0.1,2014-05-26 12:44:06.0242,0.3,0.1,2014-05-26 12:53:06.0242,1.4,1.4,1.1827302510180089,0.8831351851303616,0.44517604253148696,0.518005046114992,1.0473526833378726,0.9617064546788885
2014-05-26 12:40:40.0248,1.0,-0.1,2014-05-26 12:44:06.0248,0.2,0.0,2014-05-26 12:53:06.0248,1.4,1.4,1.1776554929794216,0.81194026778736,0.4335880190797506,0.5319497182296494,1.0519114050298453,0.955333711016808
2014-05-26 12:40:40.0254,0.8,-0.3,2014-05-26 12:44:06.0254,0.0,0.0,2014-05-26 12:53:06.0254,1.3,1.3,1.1680703111675883,0.7352984403693628,0.4280802411853353,0.5508257542069839,1.0539385145964215,0.9479674805086394
2014-05-26 12:40:40.0260,0.3,-0.6,2014-05-26 12:44:06.0260,-0.3,-0.1,2014-05-26 12:53:06.0260,1.0,1.0,1.1538850096968967,0.654380110170235,0.42851836545528815,0.5731775422258129,1.0530993643662707,0.9389984639575643
2014-05-26 12:40:40.0266,0.1,-0.6,2014-05-26 12:44:06.0266,-0.7,-0.1,2014-05-26 12:53:06.0266,0.9,1.0,1.135143765705681,0.5705107809351962,0.434625103011361,0.5973583874260703,1.0491314884563312,0.9278321921390001
2014-05-26 12:40:40.0272,0.0,-0.7,2014-05-26 12:44:06.0272,-0.7,0.0,2014-05-26 12:53:06.0272,0.8,1.0,1.1120168197851152,0.4851457807218038,0.44597568076953176,0.6215863902937445,1.0418508880420825,0.9139167496587052
2014-05-26 12:40:40.0277,-0.1,-0.5,2014-05-26 12:44:06.0277,-0.8,0.1,2014-05-26 12:53:06.0277,0.8,1.1,1.0847879634993853,0.39984258370593023,0.46199852151575665,0.6440085331123571,1.0311569384420507,0.8967715918763283
2014-05-26 12:40:40.0283,-0.2,-0.4,2014-05-26 12:44:06.0283,-0.7,0.1,2014-05-26 12:53:06.0283,0.9,1.3,1.0538389631877703,0.3162310054455921,0.4819826546747609,0.6627711908341003,1.0170361537691515,0.8760165175040094
2014-05-26 12:40:40.0289,-0.2,-0.5,2014-05-26 12:44:06.0289,-0.6,0.2,2014-05-26 12:53:06.0289,1.1,1.5,1.0196325150160868,0.23598116669411356,0.5050928400586356,0.6760947197688161,0.9995648699345155,0.8513994442043795
2014-05-26 12:40:40.0295,-0.4,-0.4,2014-05-26 12:44:06.0295,-0.4,0.4,2014-05-26 12:53:06.0295,1.2,1.7,0.982695107391548,0.16076884238716171,0.530392654517366,0.6823492747097619,0.9789106872855423,0.8228212602746904
2014-05-26 12:40:40.0301,-0.3,-0.4,2014-05-26 12:44:06.0301,-0.2,0.5,2014-05-26 12:53:06.0301,1.3,1.8,0.9436008441926663,0.09223775994600313,0.5568749778017237,0.6801286176295547,0.9553323174566611,0.7903558093248009
2014-05-26 12:40:40.0307,-0.2,-0.4,2014-05-26 12:44:06.0307,0.0,0.7,2014-05-26 12:53:06.0307,1.2,1.7,0.9029568985268382,0.03195860840694521,0.5834985298965851,0.6683184537807456,0.9291773660904682,0.7542630927468726
2014-05-26 12:40:40.0313,-0.1,-0.5,2014-05-26 12:44:06.0313,0.3,0.6,2014-05-26 12:53:06.0313,1.1,1.7,0.8613908539555236,-0.018615069561981192,0.6092284464314666,0.6461558243186712,0.9008775873165233,0.7149940781954738
2014-05-26 12:40:40.0319,0.0,-0.6,2014-05-26 12:44:06.0319,0.6,0.6,2014-05-26 12:53:06.0319,1.1,1.7,0.819539795641472,-0.05819335284326724,0.633078399007697,0.6132763536939765,0.8709412611353331,0.6731860474251445
2014-05-26 12:40:40.0325,0.0,-0.8,2014-05-26 12:44:06.0325,0.7,0.7,2014-05-26 12:53:06.0325,0.9,1.4,0.7780407041662605,-0.08569734418071172,0.6541515244226828,0.5697466957678704,0.8399425337597564,0.6296481229426677
2014-05-26 12:40:40.0331,0.1,-1.0,2014-05-26 12:44:06.0331,0.8,0.7,2014-05-26 12:53:06.0331,0.9,1.3,0.7375215392832213,-0.10030534484037991,0.6716774586282833,0.5160802813822544,0.8085077788290628,0.5853373911628458
2014-05-26 12:40:40.0336,0.1,-1.2,2014-05-26 12:44:06.0336,0.8,0.4,2014-05-26 12:53:06.0336,0.9,1.0,0.698592405312076,-0.1014950259866502,0.6850430904900738,0.45323536461007896,0.7772992528846121,0.5413268126875499
2014-05-26 12:40:40.0342,-0.3,-1.4,2014-05-26 12:44:06.0342,0.6,0.2,2014-05-26 12:53:06.0342,0.7,0.6,0.6618363556628675,-0.08907841991725356,0.6938152244518111,0.3825953440490426,0.7469965188329762,0.4987668012964309
2014-05-26 12:40:40.0348,-0.5,-1.5,2014-05-26 12:44:06.0348,0.3,0.0,2014-05-26 12:53:06.0348,0.5,0.4,0.6277996857642751,-0.06322648161892336,0.6977540889200595,0.30593233785320123,0.7182762964038497,0.4588428774310185
2014-05-26 12:40:40.0354,-0.7,-1.5,2014-05-26 12:44:06.0354,0.2,-0.1,2014-05-26 12:53:06.0354,0.3,0.3,0.5969819103946226,-0.024480297414264225,0.6968174333337188,0.22535589433639833,0.6917915686309566,0.42273207557288334
2014-05-26 12:40:40.0360,-0.7,-1.3,2014-05-26 12:44:06.0360,0.0,-0.3,2014-05-26 12:53:06.0360,0.0,0.3,0.5698259158598173,0.026253244990218565,0.6911556919970503,0.14324937980329275,0.6681509112191728,0.39156074776732114
2014-05-26 12:40:40.0366,-0.6,-1.2,2014-05-26 12:44:06.0366,0.0,-0.2,2014-05-26 12:53:06.0366,0.0,0.4,0.5467089220974081,0.08772242496093244,0.6810992453775448,0.06219692600343867,0.6478990809817436,0.3663660547169273
2014-05-26 12:40:40.0372,-0.7,-1.0,2014-05-26 12:44:06.0372,0.0,-0.2,2014-05-26 12:53:06.0372,0.0,0.6,0.5279348586453775,0.158368101392055,0.6671391260517852,-0.015096135228158485,0.6314998637000337,0.34806284546573274
2014-05-26 12:40:40.0378,-0.7,-0.7,2014-05-26 12:44:06.0378,0.0,-0.3,2014-05-26 12:53:06.0378,0.1,0.7,0.5137286057342894,0.2363760534874347,0.6499026147740372,-0.08588658217500722,0.6193220289709129,0.3374169256629706
2014-05-26 12:40:40.0384,-0.7,-0.5,2014-05-26 12:44:06.0384,0.1,-0.4,2014-05-26 12:53:06.0384,0.1,0.8,0.504232357806526,0.3197415549404325,0.6301251187968685,-0.14747783868156378,0.6116289953420782,0.3350250399488611
