TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,TIME_5,RE_5,LE_5,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed,RE_5_processed,LE_5_processed
2003-08-15 12:07:34.0071,1.6,0.2,2003-08-15 12:09:03.0071,-0.3,-0.3,2003-08-15 12:11:51.0071,-1.5,0.9,2003-08-15 12:14:20.0071,0.7,0.8,2003-08-15 12:15:27.0071,0.5,0.2,0.8452383645936676,0.8627619797973912,0.7701406063032992,1.216753000351893,0.2350444825129924,1.4907969966181462,0.4883526618754115,0.17143331863265657,0.8800969531220806,0.851224298381891
2003-08-15 12:07:34.0077,1.4,0.1,2003-08-15 12:09:03.0077,-0.3,-0.1,2003-08-15 12:11:51.0077,-1.3,1.0,2003-08-15 12:14:20.0077,0.6,0.6,2003-08-15 12:15:27.0077,0.5,0.2,0.8189253270438298,0.872900219449038,0.7574105878696823,1.1964154379044714,0.24315857672996333,1.4893001007141768,0.4657731740947831,0.15550651233772775,0.8857168150921846,0.8434055404521317
2003-08-15 12:07:34.0083,1.0,0.2,2003-08-15 12:09:03.0083,-0.3,-0.1,2003-08-15 12:11:51.0083,-1.1,1.2,2003-08-15 12:14:20.0083,0.4,0.6,2003-08-15 12:15:27.0083,0.5,0.2,0.7822196241132378,0.8836939325826517,0.7437522198616497,1.1785078164191054,0.26435892214166157,1.4798193994330124,0.43658647457934546,0.13174540016838313,0.8900960646753591,0.8343329518701031
2003-08-15 12:07:34.0089,0.7,0.1,2003-08-15 12:09:03.0089,-0.3,-0.3,2003-08-15 12:11:51.0089,-1.1,1.1,2003-08-15 12:14:20.0089,0.3,0.5,2003-08-15 12:15:27.0089,0.5,-0.1,0.7366431380344901,0.8949049757759714,0.7293276071713254,1.163273591296153,0.29690090075809283,1.4626005966914566,0.401807059617973,0.10149605628622521,0.8930153602553881,0.8242641968979154
2003-08-15 12:07:34.0094,0.1,0.0,2003-08-15 12:09:03.0094,-0.3,-0.7,2003-08-15 12:11:51.0094,-1.2,1.0,2003-08-15 12:14:20.0094,0.0,0.4,2003-08-15 12:15:27.0094,0.3,-0.1,0.6839219614318106,0.906265941911346,0.714268913111719,1.1509117006832983,0.33881052653335875,1.4380919070562999,0.36256584879250797,0.0662852102757937,0.8943055999740139,0.8134754004360185
2003-08-15 12:07:34.0100,-0.2,0.0,2003-08-15 12:09:03.0100,-0.3,-0.8,2003-08-15 12:11:51.0100,-1.1,1.0,2003-08-15 12:14:20.0100,0.0,0.4,2003-08-15 12:15:27.0100,0.2,-0.2,0.6259139466488122,0.9174823345110996,0.69866686134414,1.1415606857116185,0.3879571082024893,1.4069401670967465,0.32005797292237803,0.027767490017242904,0.8938541869228507,0.8022468404350476
2003-08-15 12:07:34.0106,-0.3,0.0,2003-08-15 12:09:03.0106,-0.4,-0.8,2003-08-15 12:11:51.0106,-0.9,0.9,2003-08-15 12:14:20.0106,-0.2,0.3,2003-08-15 12:15:27.0106,0.1,-0.2,0.5645326365558653,0.928235028247276,0.6825637462323199,1.1352834770029812,0.44212861312157675,1.3699779119635516,0.2754889781601474,-0.012331241577012424,0.891606877185974,0.7908488618032309
2003-08-15 12:07:34.0112,-0.3,0.0,2003-08-15 12:09:03.0112,-0.4,-0.9,2003-08-15 12:11:51.0112,-0.7,0.7,2003-08-15 12:14:20.0112,-0.3,0.3,2003-08-15 12:15:27.0112,0.0,-0.3,0.5016718743429806,0.9381833581941594,0.6659513320385118,1.1320540717554366,0.4991070768092194,1.3282015534070795,0.23002262382145575,-0.05227229711513333,0.8875656425620521,0.7795289208767213
2003-08-15 12:07:34.0118,-0.4,0.0,2003-08-15 12:09:03.0118,-0.4,-0.8,2003-08-15 12:11:51.0118,-0.6,0.5,2003-08-15 12:14:20.0118,-0.4,0.1,2003-08-15 12:15:27.0118,0.0,-0.3,0.4391350731502625,0.9469691593969508,0.6487737081647419,1.1317472970708797,0.556741479614183,1.282741362526195,0.1847333280624027,-0.09036214860793616,0.8817832994657697,0.768500550595759
2003-08-15 12:07:34.0124,-0.5,-0.1,2003-08-15 12:09:03.0124,-0.3,-0.8,2003-08-15 12:11:51.0124,-0.6,0.3,2003-08-15 12:14:20.0124,-0.4,0.0,2003-08-15 12:15:27.0124,-0.1,-0.2,0.37857248842288077,0.9542220105804481,0.6309348448656928,1.1341326641568303,0.6130156263827866,1.2348244777435942,0.1405659458332975,-0.12500785310897122,0.8743558357233396,0.7579348425292017
