TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed
2019-04-11 13:34:17.0000,0.0,0.0,2019-04-11 13:39:55.0000,0.0,0.0,-0.25351552681782763,0.7295327511588836,-0.058074712061169396,0.03757465044678804
2019-04-11 13:34:17.0006,-0.1,-1.2,2019-04-11 13:39:55.0006,0.2,1.4,-0.30191738145119207,0.6512149616135651,-0.05137327762371752,0.08729977664011701
2019-04-11 13:34:17.0012,-0.5,-1.4,2019-04-11 13:39:55.0012,0.3,1.5,-0.3497008363408633,0.5737103747221948,-0.0453909223547274,0.1364308963605944
2019-04-11 13:34:17.0018,-0.9,-1.6,2019-04-11 13:39:55.0018,0.4,1.5,-0.39599234642953185,0.4980092661221352,-0.04047026307950396,0.18415560378420684
2019-04-11 13:34:17.0024,-1.1,-1.7,2019-04-11 13:39:55.0024,0.3,1.6,-0.43996111155413403,0.4250560905804298,-0.036914794788778287,0.2297205673578733
2019-04-11 13:34:17.0030,-1.1,-1.6,2019-04-11 13:39:55.0030,0.2,1.4,-0.4808459104676511,0.355723820231345,-0.034976402006698645,0.27245647558696223
2019-04-11 13:34:17.0035,-0.9,-1.6,2019-04-11 13:39:55.0035,0.2,1.3,-0.5179783998446635,0.2907925261447801,-0.03484508137434927,0.31179718232603104
2019-04-11 13:34:17.0041,-0.9,-1.6,2019-04-11 13:39:55.0041,0.1,1.1,-0.5508019964466797,0.23093279353762838,-0.03664129649711358,0.34729234297552214
2019-04-11 13:34:17.0047,-1.0,-1.4,2019-04-11 13:39:55.0047,0.2,1.1,-0.578885797702567,0.17669407414429614,-0.040411222846050865,0.37861341958978945
2019-04-11 13:34:17.0053,-1.1,-1.4,2019-04-11 13:39:55.0053,0.3,1.0,-0.6019333094524696,0.12849769317428048,-0.04612500934886792,0.40555341455692323
2019-04-11 13:34:17.0059,-1.1,-1.4,2019-04-11 13:39:55.0059,0.3,0.9,-0.619786000737276,0.08663396553574441,-0.05367807824547803,0.42802105121754197
2019-04-11 13:34:17.0065,-1.1,-1.5,2019-04-11 13:39:55.0065,0.2,0.8,-0.6324219017679568,0.05126274424767969,-0.06289538246503971,0.4460303595218922
2019-04-11 13:34:17.0071,-1.1,-1.7,2019-04-11 13:39:55.0071,0.0,0.8,-0.6399496310456088,0.022416716537027464,-0.07353841678101901,0.45968675961733496
2019-04-11 13:34:17.0077,-1.0,-1.9,2019-04-11 13:39:55.0077,-0.2,0.9,-0.6425983985141313,6.853671938196199e-06,-0.08531463246224368,0.46917077920412253
2019-04-11 13:34:17.0083,-0.8,-2.0,2019-04-11 13:39:55.0083,-0.2,1.0,-0.6407046816340183,-0.01617043475086945,-0.09788876131691779,0.4747205051664583
2019-04-11 13:34:17.0089,-0.6,-2.1,2019-04-11 13:39:55.0089,-0.2,1.0,-0.6346963964438874,-0.026424741109583427,-0.11089545392552816,0.4766137794479778
2019-04-11 13:34:17.0094,-0.7,-2.2,2019-04-11 13:39:55.0094,-0.4,0.8,-0.6250754650357437,-0.031161875347473073,-0.12395260391751689,0.4751510355721911
2019-04-11 13:34:17.0100,-0.6,-2.2,2019-04-11 13:39:55.0100,-0.5,0.7,-0.6123996920533783,-0.030872967266123985,-0.13667476225830824,0.470639561109589
2019-04-11 13:34:17.0106,-0.5,-2.1,2019-04-11 13:39:55.0106,-0.4,0.6,-0.5972647971601154,-0.026122546102869074,-0.14868612541656973,0.46337986445997625
2019-04-11 13:34:17.0112,-0.6,-2.1,2019-04-11 13:39:55.0112,-0.2,0.6,-0.580287322393004,-0.017535704982674594,-0.15963269812802255,0.453654700526449
2019-04-11 13:34:17.0118,-0.4,-2.0,2019-04-11 13:39:55.0118,-0.1,0.7,-0.5620889686948956,-0.005784496092829436,-0.16919337552614702,0.44172114659501266
2019-04-11 13:34:17.0124,-0.4,-2.0,2019-04-11 13:39:55.0124,0.0,0.8,-0.5432827337733563,0.008426257622441154,-0.177089831279697,0.42780591442279525
2019-04-11 13:34:17.0130,-0.5,-1.9,2019-04-11 13:39:55.0130,-0.2,0.7,-0.5244610320866969,0.02437352215775775,-0.18309519211683167,0.41210385878031425
2019-04-11 13:34:17.0136,-0.6,-1.8,2019-04-11 13:39:55.0136,-0.2,0.9,-0.5061857813672856,0.04133076493306698,-0.18704149369581607,0.39477942916988157
2019-04-11 13:34:17.0142,-0.7,-1.8,2019-04-11 13:39:55.0142,-0.2,0.9,-0.4889802485304763,0.05858261486801251,-0.18882585594083823,0.3759706364431687
2019-04-11 13:34:17.0148,-0.8,-1.8,2019-04-11 13:39:55.0148,-0.3,0.9,-0.47332228412615296,0.0754392978933153,-0.18841522514373807,0.3557949823570621
2019-04-11 13:34:17.0153,-0.9,-2.0,2019-04-11 13:39:55.0153,-0.5,0.8,-0.459638469292243,0.09125072688657719,-0.18584944344533721,0.3343567323517272
2019-04-11 13:34:17.0159,-1.0,-2.1,2019-04-11 13:39:55.0159,-0.6,0.7,-0.4482986757542216,0.10542018385299094,-0.18124234666591604,0.31175489970328046
2019-04-11 13:34:17.0165,-0.9,-2.2,2019-04-11 13:39:55.0165,-0.5,0.8,-0.43961060657369005,0.11741757462991356,-0.1747805754358931,0.2880913429131373
2019-04-11 13:34:17.0171,-0.7,-2.2,2019-04-11 13:39:55.0171,-0.4,0.6,-0.4338140387735135,0.1267922310151573,-0.16671982961671,0.2634784399061526
2019-04-11 13:34:17.0177,-0.6,-2.1,2019-04-11 13:39:55.0177,-0.4,0.6,-0.4310747089317162,0.13318515886664586,-0.15737840592547298,0.23804587818349998
2019-04-11 13:34:17.0183,-0.4,-1.9,2019-04-11 13:39:55.0183,-0.3,0.4,-0.4314780300426882,0.1363404828250206,-0.1471280103890118,0.21194618508081683
2019-04-11 13:34:17.0189,-0.3,-1.7,2019-04-11 13:39:55.0189,-0.4,0.4,-0.43502305138905656,0.13611564439581997,-0.13638199468826825,0.18535871463093972
2019-04-11 13:34:17.0195,-0.3,-1.4,2019-04-11 13:39:55.0195,-0.4,0.5,-0.44161722949805177,0.13248971487908337,-0.12558130618910837,0.15849190103257677
2019-04-11 13:34:17.0201,-0.3,-1.1,2019-04-11 13:39:55.0201,-0.2,0.4,-0.45107264606109204,0.12556904031912666,-0.11517856646632488,0.13158367927403863
2019-04-11 13:34:17.0207,-0.2,-1.1,2019-04-11 13:39:55.0207,-0.1,0.2,-0.4631042897187769,0.1155893909980182,-0.10562081434787188,0.10490006819727843
2019-04-11 13:34:17.0212,-0.3,-1.2,2019-04-11 13:39:55.0212,0.0,0.0,-0.4773309298900382,0.10291387804979034,-0.0973315692512833,0.07873202326992346
2019-04-11 13:34:17.0218,-0.5,-1.4,2019-04-11 13:39:55.0218,0.2,-0.2,-0.4932789728067992,0.08802613304498921,-0.09069297111424118,0.053390795626134635
2019-04-11 13:34:17.0224,-0.4,-1.7,2019-04-11 13:39:55.0224,0.4,-0.2,-0.5103895202049361,0.07151859377141948,-0.08602880601139616,0.02920215837107933
2019-04-11 13:34:17.0230,-0.5,-1.9,2019-04-11 13:39:55.0230,0.3,-0.5,-0.5280286680672758,0.0540761393303521,-0.08358920777428609,0.006499951008065604
2019-04-11 13:34:17.0236,-0.4,-2.1,2019-04-11 13:39:55.0236,0.1,-0.6,-0.5455009043088104,0.03645569963534751,-0.0835377232652698,-0.014380568425917116
2019-04-11 13:34:17.0242,-0.5,-2.3,2019-04-11 13:39:55.0242,0.0,-0.7,-0.5620652956370007,0.019462773990647633,-0.08594124895348176,-0.033109087482271427
2019-04-11 13:34:17.0248,-0.6,-2.4,2019-04-11 13:39:55.0248,0.0,-0.6,-0.5769539843734737,0.0039260034523404975,-0.09076312472890093,-0.049365906707325546
2019-04-11 13:34:17.0254,-0.8,-2.6,2019-04-11 13:39:55.0254,0.0,-0.6,-0.5893923345371207,-0.009328951045838998,-0.09785946129754379,-0.06284660579455678
2019-04-11 13:34:17.0260,-1.1,-2.7,2019-04-11 13:39:55.0260,-0.1,-0.6,-0.5986198785352564,-0.019504958484820565,-0.10697861786989206,-0.07326554306004547
2019-04-11 13:34:17.0266,-1.3,-2.8,2019-04-11 13:39:55.0266,-0.4,-0.5,-0.6039110486478351,-0.0258571954737236,-0.117763640058291,-0.08035816622673349
2019-04-11 13:34:17.0272,-1.3,-2.8,2019-04-11 13:39:55.0272,-0.3,-0.5,-0.6045945720797756,-0.027714088987647687,-0.12975740081379408,-0.08388223522882463
2019-04-11 13:34:17.0277,-1.6,-2.8,2019-04-11 13:39:55.0277,-0.5,-0.5,-0.6000704025316084,-0.02449456019889197,-0.14241015928561104,-0.08361814681071153
2019-04-11 13:34:17.0283,-1.6,-2.8,2019-04-11 13:39:55.0283,-0.3,-0.4,-0.5898231731158705,-0.015720953955600324,-0.15508927610199724,-0.07936860371299484
2019-04-11 13:34:17.0289,-1.6,-2.7,2019-04-11 13:39:55.0289,-0.1,-0.5,-0.5734313814893489,-0.0010273196474300098,-0.1670909004504799,-0.07095789156978503
