TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed
2019-09-11 12:08:05.0000,0.0,0.0,2019-09-11 12:10:40.0000,0.0,0.0,-1.0947115003647105,-0.2949512736664623,-0.36573115147568347,0.13539917087008405
2019-09-11 12:08:05.0006,0.0,0.0,2019-09-11 12:10:40.0006,0.0,0.1,-1.0056097411616733,-0.16908698805186523,-0.3847669051614473,0.030044449605820107
2019-09-11 12:08:05.0012,0.0,0.1,2019-09-11 12:10:40.0012,0.0,0.2,-0.9184811496728141,-0.045785890422273275,-0.4037280555030397,-0.07488223345709442
2019-09-11 12:08:05.0018,0.0,0.3,2019-09-11 12:10:40.0018,0.0,0.1,-0.8344884410401483,0.07303340749548001,-0.42225967762753497,-0.17818862701950058
2019-09-11 12:08:05.0024,0.1,0.4,2019-09-11 12:10:40.0024,0.0,0.1,-0.7547099270703314,0.18553155755719514,-0.4400020307079229,-0.2786138137407833
2019-09-11 12:08:05.0030,0.3,0.5,2019-09-11 12:10:40.0030,0.0,0.0,-0.6801107427334707,0.2899842595130815,-0.4565985742754976,-0.37483989107530497
2019-09-11 12:08:05.0035,0.6,0.5,2019-09-11 12:10:40.0035,0.0,-0.2,-0.6115154568185499,0.38481798533867856,-0.4717047954577598,-0.46551110586397115
2019-09-11 12:08:05.0041,0.6,0.7,2019-09-11 12:10:40.0041,0.0,-0.4,-0.5495829876286713,0.4686451102960498,-0.4849977686726106,-0.5492605275255552
2019-09-11 12:08:05.0047,0.8,0.9,2019-09-11 12:10:40.0047,-0.1,-0.5,-0.4947850176916286,0.5402976952120233,-0.4961862524154789,-0.6247434785435092
2019-09-11 12:08:05.0053,0.9,1.0,2019-09-11 12:10:40.0053,-0.1,-0.6,-0.4473892491986713,0.5988589319592161,-0.5050209929013746,-0.690676228231436
2019-09-11 12:08:05.0059,1.0,1.2,2019-09-11 12:10:40.0059,-0.3,-0.6,-0.40744883269499765,0.6436910460678719,-0.5113047714903315,-0.7458780067863017
2019-09-11 12:08:05.0065,1.1,1.2,2019-09-11 12:10:40.0065,-0.2,-0.7,-0.37479914730951597,0.6744582968320301,-0.5149016377143604,-0.7893142405634318
2019-09-11 12:08:05.0071,1.2,1.3,2019-09-11 12:10:40.0071,-0.3,-0.6,-0.34906283129478816,0.691143669077686,-0.5157447540169824,-0.8201389919077419
2019-09-11 12:08:05.0077,1.1,1.3,2019-09-11 12:10:40.0077,-0.1,-0.7,-0.3296635685056891,0.6940579234140679,-0.5138423672365608,-0.8377348171281009
2019-09-11 12:08:05.0083,1.1,1.4,2019-09-11 12:10:40.0083,-0.1,-0.6,-0.31584864331497103,0.6838398476887699,-0.5092816017258639,-0.8417485524668815
2019-09-11 12:08:05.0089,1.1,1.4,2019-09-11 12:10:40.0089,-0.1,-0.5,-0.3067197136242785,0.6614468085895261,-0.5022299847297228,-0.8321218400301597
2019-09-11 12:08:05.0094,0.9,1.5,2019-09-11 12:10:40.0094,-0.1,-0.5,-0.3012706689024362,0.6281350265975505,-0.4929347976616718,-0.8091154665766576
2019-09-11 12:08:05.0100,0.7,1.5,2019-09-11 12:10:40.0100,-0.1,-0.5,-0.29843089415586344,0.5854293942044911,-0.4817204573962101,-0.773326761750626
2019-09-11 12:08:05.0106,0.5,1.3,2019-09-11 12:10:40.0106,0.0,-0.5,-0.297111807153681,0.5350831399031468,-0.4689841776105433,-0.7256993516182044
2019-09-11 12:08:05.0112,0.5,1.0,2019-09-11 12:10:40.0112,0.0,-0.5,-0.2962542399388175,0.47902821250082966,-0.45519017249571364,-0.6675244915537939
2019-09-11 12:08:05.0118,0.6,0.8,2019-09-11 12:10:40.0118,0.0,-0.6,-0.2948741635365827,0.4193178882151974,-0.440862658419127,-0.6004330648001401
2019-09-11 12:08:05.0124,0.6,0.6,2019-09-11 12:10:40.0124,0.0,-0.7,-0.2921044308039945,0.35806370145781874,-0.4265778743285065,-0.526377208572831
2019-09-11 12:08:05.0130,0.7,0.5,2019-09-11 12:10:40.0130,0.0,-0.7,-0.2872305830904446,0.297369260359809,-0.41295527161017664,-0.447600499621081
2019-09-11 12:08:05.0136,0.7,0.3,2019-09-11 12:10:40.0136,0.0,-0.8,-0.27971922698549,0.23926375513584874,-0.400647931580278,-0.36659577953229294
2019-09-11 12:08:05.0142,0.7,0.2,2019-09-11 12:10:40.0142,0.0,-0.7,-0.26923794428434017,0.1856379901470502,-0.3903321769993134,-0.28605009840097984
2019-09-11 12:08:05.0148,0.8,0.1,2019-09-11 12:10:40.0148,0.0,-0.6,-0.2556661066784828,0.13818559939912298,-0.38269626887404257,-0.2087769282283523
