TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed
2003-04-03 13:07:05.0000,0.0,0.0,2003-04-03 13:10:01.0000,0.0,0.0,2003-04-03 13:13:30.0000,0.0,0.0,3.1796906405402128,0.4156802317466535,1.8164566325284113,3.516200273775297,1.2640598494917328,0.3145043506798563
2003-04-03 13:07:05.0006,-0.2,-0.2,2003-04-03 13:10:01.0006,0.0,-0.1,2003-04-03 13:13:30.0006,0.0,-0.1,2.94143257098568,0.3385716597497475,1.846050931059036,3.4367701969735256,1.2696817047795153,0.29038635006800684
2003-04-03 13:07:05.0012,-0.3,-0.4,2003-04-03 13:10:01.0012,0.4,-0.1,2003-04-03 13:13:30.0012,0.0,-0.1,2.7020421730988327,0.26046711339269624,1.8753363324929513,3.3555673379420883,1.2745243133115545,0.26694422239151155
2003-04-03 13:07:05.0018,-0.4,-0.7,2003-04-03 13:10:01.0018,0.5,-0.1,2003-04-03 13:13:30.0018,0.0,-0.2,2.4611885975307675,0.18200509782329313,1.904116208547846,3.2708529537568807,1.278076245358887,0.24471005340891694
2003-04-03 13:07:05.0024,-0.6,-0.7,2003-04-03 13:10:01.0024,0.6,-0.2,2003-04-03 13:13:30.0024,0.0,-0.1,2.2186932892164495,0.103848117819118,1.9322168317955735,3.181063692729733,1.2798625268194552,0.2242092831368447
2003-04-03 13:07:05.0030,-0.6,-0.7,2003-04-03 13:10:01.0030,0.3,-0.3,2003-04-03 13:13:30.0030,0.0,-0.2,1.9745788745374224,0.02666587622834043,1.9594911637142582,3.0848855552073124,1.2794601330246023,0.20595748782256063
2003-04-03 13:07:05.0035,-0.5,-0.6,2003-04-03 13:10:01.0035,0.1,-0.2,2003-04-03 13:13:30.0035,-0.2,0.0,1.7291118345137617,-0.04887354270763559,1.985819564066208,2.9813200581503025,1.2765124143702995,0.19045636657407727
2003-04-03 13:07:05.0041,-0.5,-0.4,2003-04-03 13:10:01.0041,0.0,-0.1,2003-04-03 13:13:30.0041,-0.1,-0.1,1.482836534779356,-0.12210379824242039,2.0111076126835186,2.869740016612738,1.2707420407809806,0.17818856768528848
2003-04-03 13:07:05.0047,-0.5,-0.2,2003-04-03 13:10:01.0047,-0.2,-0.1,2003-04-03 13:13:30.0047,0.0,0.0,1.2365978211841164,-0.1923526490288196,2.0352818735503626,2.7499322163334963,1.261962031862564,0.1696109571084217
2003-04-03 13:07:05.0053,-0.5,-0.1,2003-04-03 13:10:01.0053,-0.3,0.0,2003-04-03 13:13:30.0053,0.1,0.1,0.9915492930668112,-0.25892892354760144,2.0582848300948675,2.6221242122802035,1.2500843999107265,0.16514596847039312
2003-04-03 13:07:05.0059,-0.5,-0.1,2003-04-03 13:10:01.0059,-0.1,-0.1,2003-04-03 13:13:30.0059,0.2,0.1,0.749144692994431,-0.3211075235749228,2.0800702735636447,2.4869927065139246,1.2351258890569723,0.16517079788692188
2003-04-03 13:07:05.0065,-0.7,-0.1,2003-04-03 13:10:01.0065,0.0,-0.2,2003-04-03 13:13:30.0065,0.2,0.1,0.5111106532200943,-0.37811634019773827,2.1006001395934195,2.345651544089739,1.217210289577918,0.17000442582784714
2003-04-03 13:07:05.0071,-0.9,-0.1,2003-04-03 13:10:01.0071,0.2,-0.2,2003-04-03 13:13:30.0071,0.1,0.0,0.27940026812148927,-0.4291288491842599,2.1198432550989947,2.199618307075788,1.1965668882668687,0.17989276473873136
2003-04-03 13:07:05.0077,-1.1,-0.1,2003-04-03 13:10:01.0077,0.3,-0.2,2003-04-03 13:13:30.0077,0.0,-0.2,0.05612849788529114,-0.4732655923692848,2.1377758342144264,2.0507596756248443,1.17352480146633,0.1949926286798019
2003-04-03 13:07:05.0083,-1.3,0.0,2003-04-03 13:10:01.0083,0.4,-0.3,2003-04-03 13:13:30.0083,-0.2,-0.3,-0.15650794260501638,-0.509606906712729,2.1543830185840633,1.9012170369869559,1.1485032058384452,0.21535564771782092
2003-04-03 13:07:05.0089,-1.6,0.0,2003-04-03 13:10:01.0089,0.5,-0.6,2003-04-03 13:13:30.0089,-0.4,-0.6,-0.3563220278066532,-0.5372182434784459,2.1696604132168997,1.7533151920281531,1.1219977842485391,0.24091361987916807
2003-04-03 13:07:05.0094,-1.9,-0.1,2003-04-03 13:10:01.0094,0.6,-0.9,2003-04-03 13:13:30.0094,-0.5,-0.6,-0.5412338110258373,-0.5551882598356546,2.183614465724294,1.6094584026517247,1.0945639819664128,0.2714670112752898
2003-04-03 13:07:05.0100,-2.1,-0.3,2003-04-03 13:10:01.0100,0.6,-1.1,2003-04-03 13:13:30.0100,-0.6,-0.6,-0.7093676346411183,-0.5626785628126778,2.196260661910813,1.4720193320593478,1.0667978715135973,0.3066783018677399
2003-04-03 13:07:05.0106,-2.1,-0.5,2003-04-03 13:10:01.0106,0.5,-1.3,2003-04-03 13:13:30.0106,-0.6,-0.5,-0.8591428829029039,-0.5589825852917747,2.207618832951421,1.3432274132778372,1.0393155244464256,0.346071595228927
2003-04-03 13:07:05.0112,-2.1,-0.7,2003-04-03 13:10:01.0112,0.4,-1.4,2003-04-03 13:13:30.0112,-0.7,-0.4,-0.9893524943266555,-0.5435897217255993,2.2177053452261615,1.2250635790386568,1.012731786529387,0.38903939362191303
2003-04-03 13:07:05.0118,-2.1,-0.9,2003-04-03 13:10:01.0118,0.2,-1.5,2003-04-03 13:13:30.0118,-0.6,-0.2,-1.0992245286720106,-0.516249769739929,2.2265225017675263,1.1191679699021497,0.9876392761492669,0.4348567709365242
