TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2017-03-22 10:57:37.0000,0.0,0.0,2017-03-22 10:59:11.0000,0.0,0.0,2017-03-22 11:02:14.0000,0.0,0.0,2017-03-22 11:06:39.0000,0.0,0.0,2.0654625772253468,0.8915581072679678,-0.19298708868558254,-1.2012856159424554,-0.6189670400984391,-0.6766625136136586,-1.8960911653413774,0.24480343742062863
2017-03-22 10:57:37.0006,-0.1,0.4,2017-03-22 10:59:11.0006,0.0,0.0,2017-03-22 11:02:14.0006,0.0,0.1,2017-03-22 11:06:39.0006,-0.1,0.0,2.0536490956789977,0.9435299804406778,-0.2564059755647473,-1.13180433760774,-0.5854826662075373,-0.6468156387082055,-1.9506618137721004,0.3049817719347064
2017-03-22 10:57:37.0012,-0.4,0.3,2017-03-22 10:59:11.0012,-0.5,0.0,2017-03-22 11:02:14.0012,-0.2,0.0,2017-03-22 11:06:39.0012,-0.5,-0.2,2.0423964444247256,0.9933932815430441,-0.318012931277938,-1.0634431892242757,-0.5514797969879617,-0.6162082292848271,-2.0025377059569216,0.36688101676194096
2017-03-22 10:57:37.0018,-0.5,0.3,2017-03-22 10:59:11.0018,-0.8,-0.1,2017-03-22 11:02:14.0018,-0.3,0.0,2017-03-22 11:06:39.0018,-0.7,-0.2,2.0313698794075163,1.0388125725522774,-0.3762848248812412,-0.9970609646243745,-0.5162349671334515,-0.58455924068789,-2.0499428060952445,0.4308092003864844
2017-03-22 10:57:37.0024,-0.5,0.4,2017-03-22 10:59:11.0024,-0.9,0.2,2017-03-22 11:02:14.0024,-0.3,0.0,2017-03-22 11:06:39.0024,-0.8,-0.2,2.0202283772972476,1.0775876169680418,-0.4298498017901345,-0.9334607767727449,-0.4790822181933017,-0.55162943210688,-2.0912486093182587,0.4969582619956525
2017-03-22 10:57:37.0030,-0.2,0.4,2017-03-22 10:59:11.0030,-0.9,0.4,2017-03-22 11:02:14.0030,-0.2,0.1,2017-03-22 11:06:39.0030,-0.7,-0.1,2.008635981197313,1.1077205261344658,-0.47754223421754155,-0.8733689092333302,-0.4394374251816409,-0.5172329699844295,-2.1250288182670256,0.5653717012555358
2017-03-22 10:57:37.0035,0.0,0.5,2017-03-22 10:59:11.0035,-0.7,0.5,2017-03-22 11:02:14.0035,0.0,0.2,2017-03-22 11:06:39.0035,-0.6,0.0,1.9962735072057904,1.1274743537055347,-0.5184447942128403,-0.8174155168513778,-0.3968176204448471,-0.48124724405780916,-2.1501019646933615,0.6359198797756085
2017-03-22 10:57:37.0041,0.1,0.6,2017-03-22 10:59:11.0041,-0.5,0.8,2017-03-22 11:02:14.0041,0.1,0.2,2017-03-22 11:06:39.0041,-0.4,0.0,1.9828500958929258,1.1354210426258455,-0.5519155667550489,-0.7661180574654234,-0.35085447733477987,-0.44362048954959993,-2.1655600786983533,0.7082845529972328
2017-03-22 10:57:37.0047,0.2,0.6,2017-03-22 10:59:11.0047,-0.3,0.7,2017-03-22 11:02:14.0047,0.3,0.3,2017-03-22 11:06:39.0047,-0.2,0.1,1.968113818078224,1.1304771259092607,-0.5775996422929733,-0.7198683965674784,-0.30130164438876683,-0.4043769281719641,-2.170783072761786,0.7819535327286901
2017-03-22 10:57:37.0053,0.0,0.5,2017-03-22 10:59:11.0053,-0.1,0.6,2017-03-22 11:02:14.0053,0.4,0.4,2017-03-22 11:06:39.0053,0.0,0.2,1.9518604353677078,1.1119261408373027,-0.5954260764820277,-0.6789244073567657,-0.24803613103330147,-0.3636192585005798,-2.1654399740796424,0.8562256974260983
