TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed
2006-10-07 11:57:30.0000,0.0,0.0,2006-10-07 11:59:58.0000,0.0,0.0,-0.18075402807416605,-0.3821337007899698,-0.9533092605859602,-1.0128174002846984
2006-10-07 11:57:30.0006,-0.1,-0.1,2006-10-07 11:59:58.0006,-0.2,-0.1,-0.18603486307762124,-0.3878358992678139,-1.0012474388221133,-1.0464576857666428
2006-10-07 11:57:30.0012,-0.4,-0.2,2006-10-07 11:59:58.0012,-0.6,-0.3,-0.19068636011949097,-0.3934330984449128,-1.047517745751498,-1.0791552131036848
2006-10-07 11:57:30.0018,-0.6,-0.2,2006-10-07 11:59:58.0018,-0.8,-0.2,-0.19453029066524136,-0.39894576204987764,-1.0909574026147728,-1.110034260028764
2006-10-07 11:57:30.0024,-0.5,-0.1,2006-10-07 11:59:58.0024,-1.0,-0.4,-0.19742312763084055,-0.40440324858592797,-1.130502677920708,-1.1382747818932726
2006-10-07 11:57:30.0030,-0.5,-0.1,2006-10-07 11:59:58.0030,-1.0,-0.5,-0.1992651083416204,-0.40984422635776085,-1.1652261567422373,-1.1631374339331273
2006-10-07 11:57:30.0035,-0.4,-0.1,2006-10-07 11:59:58.0035,-1.0,-0.5,-0.20000664459198333,-0.4153163844479662,-1.1943680904433454,-1.1839856242541074
2006-10-07 11:57:30.0041,-0.2,-0.1,2006-10-07 11:59:58.0041,-0.8,-0.5,-0.1996516765125204,-0.42087542079359486,-1.2173605644854828,-1.2003038189408877
2006-10-07 11:57:30.0047,-0.2,-0.1,2006-10-07 11:59:58.0047,-0.8,-0.5,-0.198257892302515,-0.4265833626587392,-1.2338437319186317,-1.2117115033767158
2006-10-07 11:57:30.0053,-0.1,-0.1,2006-10-07 11:59:58.0053,-0.6,-0.5,-0.19593403357320743,-0.43250632622784235,-1.243673872800121,-1.2179724181986387
2006-10-07 11:57:30.0059,0.0,-0.1,2006-10-07 11:59:58.0059,-0.5,-0.3,-0.19283474458659408,-0.43871185689358544,-1.2469234963662241,-1.2189989156710106
2006-10-07 11:57:30.0065,0.2,-0.1,2006-10-07 11:59:58.0065,-0.3,-0.4,-0.1891535927608944,-0.44526601583681713,-1.2438740665316896,-1.214851501478673
