TIME_1,RE_1,LE_1,RE_1_processed,LE_1_processed
2003-08-08 11:43:52.0000,0.0,0.0,0.8525687207022195,0.33241615684017717
2003-08-08 11:43:52.0006,0.0,-0.1,0.8499531125893577,0.350765774708975
2003-08-08 11:43:52.0012,0.0,-0.2,0.8475448659425041,0.3688721427069985
2003-08-08 11:43:52.0018,0.0,-0.2,0.8453155645303505,0.3865868122739223
2003-08-08 11:43:52.0024,-0.1,-0.2,0.8432236586928357,0.40375181560268114
2003-08-08 11:43:52.0030,-0.1,-0.2,0.8412118552605512,0.42019484761064974
2003-08-08 11:43:52.0035,0.0,-0.1,0.8392051447912293,0.4357271658331922
2003-08-08 11:43:52.0041,-0.1,0.0,0.8371096613272965,0.45014461713248927
2003-08-08 11:43:52.0047,-0.2,0.0,0.8348125380930521,0.463231837607215
2003-08-08 11:43:52.0053,-0.1,0.2,0.8321828805480307,0.4747693188172733
2003-08-08 11:43:52.0059,-0.2,0.2,0.8290739260551689,0.48454272370895696
2003-08-08 11:43:52.0065,-0.2,0.3,0.8253263885872311,0.49235359284873476
2003-08-08 11:43:52.0071,0.0,0.5,0.820772893617079,0.4980304197751693
2003-08-08 11:43:52.0077,0.0,0.6,0.8152433019986526,0.5014390036795464
2003-08-08 11:43:52.0083,0.0,0.6,0.8085706232692872,0.5024910212254028
2003-08-08 11:43:52.0089,0.0,0.5,0.8005971553528729,0.5011499128532798
2003-08-08 11:43:52.0094,0.0,0.4,0.7911804771835613,0.4974334520177415
2003-08-08 11:43:52.0100,-0.1,0.3,0.7801989591559878,0.4914127190748368
2003-08-08 11:43:52.0106,-0.1,0.3,0.7675565236428411,0.48320756364274353
2003-08-08 11:43:52.0112,-0.1,0.2,0.7531864636603983,0.4729789434763442
2003-08-08 11:43:52.0118,-0.2,0.2,0.737054197953977,0.4609187420741528
2003-08-08 11:43:52.0124,-0.2,0.2,0.7191588989568369,0.44723779424472876
2003-08-08 11:43:52.0130,-0.2,0.2,0.699533976505346,0.432152908743842
2003-08-08 11:43:52.0136,-0.3,0.0,0.6782464371407191,0.4158736927684521
2003-08-08 11:43:52.0142,-0.3,0.0,0.6553951686252368,0.39858997164277976
2003-08-08 11:43:52.0148,-0.3,0.0,0.6311082250478242,0.3804605589966028
2003-08-08 11:43:52.0153,-0.2,0.0,0.6055392130212996,0.36160405261348
2003-08-08 11:43:52.0159,-0.4,0.0,0.5788629107296789,0.34209220025085063
2003-08-08 11:43:52.0165,-0.5,0.0,0.551270301258763,0.3219462145981778
2003-08-08 11:43:52.0171,-0.5,0.0,0.522963275730949,0.30113624714464443
2003-08-08 11:43:52.0177,-0.8,-0.1,0.49414934509723396,0.2795840782668955
2003-08-08 11:43:52.0183,-0.8,-0.1,0.4650367617467729,0.25716895013485813
2003-08-08 11:43:52.0189,-0.9,-0.1,0.43583046663321706,0.23373635213345015
2003-08-08 11:43:52.0195,-0.9,-0.1,0.40672922991744875,0.20910945242461002
2003-08-08 11:43:52.0201,-0.9,-0.1,0.37792424365676075,0.18310274826733622
2003-08-08 11:43:52.0207,-0.9,-0.1,0.34959927227532495,0.15553739041741552
2003-08-08 11:43:52.0212,-1.0,-0.1,0.32193230037542725,0.1262575393222928
2003-08-08 11:43:52.0218,-0.9,-0.2,0.29509846411758844,0.09514704455902696
2003-08-08 11:43:52.0224,-0.9,-0.2,0.26927392527702176,0.06214570627436203
2003-08-08 11:43:52.0230,-0.9,-0.1,0.24464025124047153,0.0272643716000945
2003-08-08 11:43:52.0236,-0.9,-0.2,0.2213888066713532,-0.009401868376803416
2003-08-08 11:43:52.0242,-0.8,-0.2,0.1997246534722444,-0.04766308221433642
