TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2021-08-28 08:59:40.0000,0.0,0.0,2021-08-28 09:05:22.0000,0.0,0.0,2021-08-28 11:55:37.0000,0.0,0.0,2021-08-28 11:58:13.0000,0.0,0.0,0.16877884955244352,0.021172039791342887,-0.05976349467505806,0.48437767959423556,-2.8970821719839024,1.653918309211592,-4.389820664925675,1.3616756534671595
2021-08-28 08:59:40.0006,-0.1,0.0,2021-08-28 09:05:22.0006,-0.1,-0.1,2021-08-28 11:55:37.0006,0.0,-0.4,2021-08-28 11:58:13.0006,0.0,-0.1,0.16583491605091527,0.040968180556830804,-0.04597235487774903,0.4958830284425706,-2.9150598386597886,1.6501399785129505,-4.20488032345076,1.345140874060538
2021-08-28 08:59:40.0012,-0.4,-0.2,2021-08-28 09:05:22.0012,-0.3,-0.2,2021-08-28 11:55:37.0012,-0.2,-0.4,2021-08-28 11:58:13.0012,0.0,-0.3,0.16330596148341123,0.06110732814189123,-0.03211693074533778,0.5073932694417875,-2.9321875975231224,1.6465174136421061,-4.020239777920662,1.328928974468818
2021-08-28 08:59:40.0018,-0.6,-0.2,2021-08-28 09:05:22.0018,-0.3,-0.3,2021-08-28 11:55:37.0018,-0.3,-0.5,2021-08-28 11:58:13.0018,0.2,-0.2,0.16150547527062561,0.08157296238188305,-0.018254537929855843,0.5188413826211675,-2.9464157570304,1.6432683760044837,-3.836121643491847,1.3134114638213814
2021-08-28 08:59:40.0024,-0.5,-0.1,2021-08-28 09:05:22.0024,-0.1,-0.1,2021-08-28 11:55:37.0024,-0.5,-0.5,2021-08-28 11:58:13.0024,0.3,-0.2,0.1607238622130227,0.10233624534380618,-0.004450988118301082,0.5301576210854804,-2.955843630098007,1.6405756481855904,-3.652757748720705,1.2989552020663966
2021-08-28 08:59:40.0030,-0.4,0.0,2021-08-28 09:05:22.0030,-0.1,0.0,2021-08-28 11:55:37.0030,-0.6,-0.5,2021-08-28 11:58:13.0030,0.3,-0.2,0.16121864009709422,0.12335360248305212,0.00921799245083215,0.5412675762636493,-2.958795055562083,1.6385698563760298,-3.47039453324727,1.285915750940988
2021-08-28 08:59:40.0035,-0.3,0.2,2021-08-28 09:05:22.0035,0.0,0.0,2021-08-28 11:55:37.0035,-0.6,-0.3,2021-08-28 11:58:13.0035,0.3,-0.2,0.16320650642696402,0.14456505351487495,0.022666507380071737,0.5520910859080659,-2.9538813373004063,1.6373167571919953,-3.289295872273672,1.274630782113911
2021-08-28 08:59:40.0041,0.0,0.5,2021-08-28 09:05:22.0041,0.2,0.0,2021-08-28 11:55:37.0041,-0.6,-0.2,2021-08-28 11:58:13.0041,0.4,-0.1,0.16685752666279735,0.16589331422373924,0.03579944845748145,0.562542079490029,-2.940048593401626,1.6368097237836456,-3.1097429347626093,1.2654135576084653
2021-08-28 08:59:40.0047,0.1,0.5,2021-08-28 09:05:22.0047,0.4,0.2,2021-08-28 11:55:37.0047,-0.4,-0.2,2021-08-28 11:58:13.0047,0.5,-0.1,0.17229143646343884,0.18724351826763058,0.04851452674120896,0.5725293053910194,-2.9166074239579998,1.636967664745385,-2.932030963166565,1.2585464603526924
2021-08-28 08:59:40.0053,0.2,0.6,2021-08-28 09:05:22.0053,0.6,0.4,2021-08-28 11:55:37.0053,-0.2,-0.1,2021-08-28 11:58:13.0053,0.6,-0.2,0.17957583648319808,0.2085032905363621,0.060705076554727816,0.581957758472652,-2.883243897573336,1.6376381644815978,-2.7564632166927603,1.2542745521163048
2021-08-28 08:59:40.0059,0.3,0.7,2021-08-28 09:05:22.0059,0.5,0.4,2021-08-28 11:55:37.0059,0.0,-0.1,2021-08-28 11:58:13.0059,0.8,-0.2,0.18872592392457163,0.22954286815727173,0.07226322930208595,0.5907305289849416,-2.8400120099656063,1.6386052848676975,-2.5833427628847025,1.2527991743698164
2021-08-28 08:59:40.0065,0.3,0.7,2021-08-28 09:05:22.0065,0.7,0.5,2021-08-28 11:55:37.0065,0.1,0.0,2021-08-28 11:58:13.0065,1.0,-0.2,0.19970536059948632,0.2502150101841284,0.08308302404198792,0.5987507348476226,-2.787308849331313,1.6396012210086393,-2.4129632602837914,1.2542716780799872
2021-08-28 08:59:40.0071,0.3,0.7,2021-08-28 09:05:22.0071,0.7,0.5,2021-08-28 11:55:37.0071,0.2,0.0,2021-08-28 11:58:13.0071,1.1,-0.3,0.21242791190931334,0.2703545392544134,0.09306306784508636,0.6059231952934558,-2.7258345961418557,1.6403208422186577,-2.245600226208264,1.2587874538294066
2021-08-28 08:59:40.0077,0.4,0.8,2021-08-28 09:05:22.0077,0.6,0.5,2021-08-28 11:55:37.0077,0.2,0.0,2021-08-28 11:58:13.0077,1.2,-0.5,0.22675958169805044,0.2897774914875681,0.10210846456187253,0.6121555585066369,-2.656540132528003,1.6404380567597299,-2.0815044043654045,1.266380514056826
2021-08-28 08:59:40.0083,0.3,0.8,2021-08-28 09:05:22.0083,0.7,0.5,2021-08-28 11:55:37.0083,0.4,0.0,2021-08-28 11:58:13.0083,1.3,-0.4,0.24252108935052122,0.30827999451646104,0.11013187207946185,0.6173586950939417,-2.5805654568124714,1.6396229058419545,-1.9208986530162953,1.277018938194449
2021-08-28 08:59:40.0089,0.2,0.6,2021-08-28 09:05:22.0089,0.6,0.4,2021-08-28 11:55:37.0089,0.5,0.1,2021-08-28 11:58:13.0089,1.3,-0.3,0.2594906672198434,0.3256371342007199,0.1170537050084889,0.6214462920745072,-2.49917235840034,1.6375583087895658,-1.7639792616153838,1.2906015123536234
2021-08-28 08:59:40.0094,0.0,0.4,2021-08-28 09:05:22.0094,0.3,0.3,2021-08-28 11:55:37.0094,0.7,0.2,2021-08-28 11:58:13.0094,1.1,-0.3,0.27740728120550634,0.34160219732926694,0.12280165405147386,0.6243337096333661,-2.413674967911973,1.6339554350975867,-1.6109218513139627,1.3069558658252196
