TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed
2007-04-05 11:01:15.0000,0.0,0.0,2007-04-05 11:03:18.0000,0.0,0.0,0.9026964115737266,1.5652880259943676,1.3766443740235534,-0.3472477413523111
2007-04-05 11:01:15.0006,0.1,-0.2,2007-04-05 11:03:18.0006,0.0,0.0,1.0243975978653037,1.6283885690217295,1.4082744212841514,0.02040093440965012
2007-04-05 11:01:15.0012,0.0,-0.4,2007-04-05 11:03:18.0012,-0.2,0.0,1.14306994935241,1.6867779504843963,1.439592583768147,0.38355799704988514
2007-04-05 11:01:15.0018,0.4,-0.2,2007-04-05 11:03:18.0018,-0.2,0.0,1.255963969311661,1.737779454663045,1.4697650402259963,0.7380101457359608
2007-04-05 11:01:15.0024,0.6,0.0,2007-04-05 11:03:18.0024,-0.2,0.2,1.3604793816883096,1.7789314441644781,1.497948607909593,1.0795825991731691
2007-04-05 11:01:15.0030,0.9,0.1,2007-04-05 11:03:18.0030,0.0,0.5,1.454242762266053,1.8080729240247275,1.5233061184113927,1.4041892553454791
2007-04-05 11:01:15.0035,1.3,0.3,2007-04-05 11:03:18.0035,0.1,0.8,1.535179452484306,1.823424351994876,1.5450238054483505,1.7078922722474532
2007-04-05 11:01:15.0041,1.5,0.4,2007-04-05 11:03:18.0041,0.2,1.4,1.6015772578070353,1.8236606822441688,1.5623305769661722,1.986971024995648
2007-04-05 11:01:15.0047,1.8,0.6,2007-04-05 11:03:18.0047,0.2,1.6,1.6521394160342153,1.8079731975423978,1.574518760168747,2.237998847696119
2007-04-05 11:01:15.0053,2.0,0.6,2007-04-05 11:03:18.0053,0.3,2.0,1.6860244759900735,1.7761165517340989,1.5809656600195248,2.4579246185546912
2007-04-05 11:01:15.0059,2.0,0.7,2007-04-05 11:03:18.0059,0.3,2.1,1.7028710792622563,1.7284376340022762,1.5811550774986391,2.6441553196740557
2007-04-05 11:01:15.0065,2.1,0.8,2007-04-05 11:03:18.0065,0.5,2.1,1.702806186180214,1.6658833752158588,1.5746977894319045,2.794635302877048
2007-04-05 11:01:15.0071,1.9,0.7,2007-04-05 11:03:18.0071,0.7,2.2,1.6864360068714879,1.589985421957597,1.5613498919994695,2.9079180783237133
2007-04-05 11:01:15.0077,1.7,0.6,2007-04-05 11:03:18.0077,0.9,2.2,1.6548197419786013,1.5028206714611219,1.5410278669052837,2.9832268632410663
2007-04-05 11:01:15.0083,1.5,0.5,2007-04-05 11:03:18.0083,0.9,2.3,1.6094271409375598,1.406947944918826,1.5138192756516964,3.020500702096318
2007-04-05 11:01:15.0089,1.1,0.0,2007-04-05 11:03:18.0089,0.7,2.2,1.5520817740344517,1.3053225013995593,1.479988163515797,3.020423564939759
2007-04-05 11:01:15.0094,0.4,-0.3,2007-04-05 11:03:18.0094,0.3,2.1,1.4848927114306918,1.2011915384109906,1.4399745770889432,2.9844343969208684
2007-04-05 11:01:15.0100,0.0,-0.6,2007-04-05 11:03:18.0100,0.0,2.3,1.4101779309645,1.097975122931929,1.3943880316790351,2.914716623230128
2007-04-05 11:01:15.0106,-0.1,-0.8,2007-04-05 11:03:18.0106,-0.2,2.3,1.3303831521461464,0.9991379618050895,1.3439952193015263,2.8141661062321073
2007-04-05 11:01:15.0112,-0.2,-0.8,2007-04-05 11:03:18.0112,-0.4,2.3,1.2479998394062366,0.908057904748484,1.2897026212172573,2.686337023848851
