TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed
2019-11-06 10:14:27.0000,0.0,0.0,2019-11-06 10:44:42.0000,0.0,0.0,0.290699000791555,-1.3192612409237074,-0.4219468863769605,-4.1476863235180605
2019-11-06 10:14:27.0006,-0.1,-0.1,2019-11-06 10:44:42.0006,0.0,0.2,0.3437117092036969,-1.3971326994754631,-0.34702863487064617,-3.7299909484938922
2019-11-06 10:14:27.0012,-0.3,-0.3,2019-11-06 10:44:42.0012,-0.1,0.1,0.3959092327219644,-1.4732626179372523,-0.2717965955690462,-3.316101582640576
2019-11-06 10:14:27.0018,-0.2,-0.2,2019-11-06 10:44:42.0018,0.0,0.3,0.4467750881038056,-1.5457103741094913,-0.1963752119935714,-2.9114792309753494
2019-11-06 10:14:27.0024,0.0,-0.2,2019-11-06 10:44:42.0024,0.2,0.5,0.49580644529225903,-1.612615466429658,-0.12090896522056714,-2.521300068304854
2019-11-06 10:14:27.0030,0.0,-0.3,2019-11-06 10:44:42.0030,0.3,0.8,0.5425143316206852,-1.6722393389934331,-0.04556112598681496,-2.1502903173155024
2019-11-06 10:14:27.0035,0.0,-0.2,2019-11-06 10:44:42.0035,0.5,0.9,0.5864275321193975,-1.7230034969921384,0.029488220434862895,-1.8025805631622822
2019-11-06 10:14:27.0041,0.1,-0.2,2019-11-06 10:44:42.0041,0.6,1.1,0.6271000938714727,-1.7635232071432694,0.10404456233300732,-1.4815860029356258
2019-11-06 10:14:27.0047,0.2,-0.1,2019-11-06 10:44:42.0047,0.6,1.1,0.6641216750256179,-1.7926363554605642,0.17790132393426022,-1.1899182296234296
2019-11-06 10:14:27.0053,0.3,-0.3,2019-11-06 10:44:42.0053,0.6,1.0,0.6971295157961761,-1.8094272218440208,0.2508417834394682,-0.9293326065142099
2019-11-06 10:14:27.0059,0.3,-0.3,2019-11-06 10:44:42.0059,0.6,1.1,0.7258205439244937,-1.8132450060106247,0.32264027192793593,-0.7007132442719611
2019-11-06 10:14:27.0065,0.3,-0.3,2019-11-06 10:44:42.0065,0.7,1.1,0.7499620956601496,-1.803716921719218,0.39306257817909346,-0.5040953632889396
2019-11-06 10:14:27.0071,0.2,-0.2,2019-11-06 10:44:42.0071,0.7,1.1,0.7693999620466726,-1.7807556442666959,0.46186566419300334,-0.33872272902706896
2019-11-06 10:14:27.0077,0.3,-0.1,2019-11-06 10:44:42.0077,0.8,1.1,0.7840629023796356,-1.7445609258588337,0.5287969130796679,-0.20313606273093524
2019-11-06 10:14:27.0083,0.2,-0.1,2019-11-06 10:44:42.0083,1.0,1.3,0.7939632758015943,-1.6956152794519994,0.5935931883176153,-0.09528685835335457
2019-11-06 10:14:27.0089,0.1,-0.3,2019-11-06 10:44:42.0089,1.0,1.0,0.7991939107778778,-1.634673696782205,0.6559800139611186,-0.012669804605992298
2019-11-06 10:14:27.0094,0.1,-0.3,2019-11-06 10:44:42.0094,0.8,0.7,0.7999216959795543,-1.5627473576390403,0.7156712318566476,0.04753404420775114
2019-11-06 10:14:27.0100,0.1,-0.3,2019-11-06 10:44:42.0100,0.8,0.7,0.7963785931118417,-1.4810812582359243,0.7723695792700944,0.08831203014133726
2019-11-06 10:14:27.0106,0.2,-0.1,2019-11-06 10:44:42.0106,0.8,0.6,0.7888508008190682,-1.3911257702691382,0.8257687256807804,0.11268158603645342
2019-11-06 10:14:27.0112,0.3,0.0,2019-11-06 10:44:42.0112,0.8,0.7,0.7776666462453767,-1.2945024312674895,0.8755573210512173,0.12356729412873325
2019-11-06 10:14:27.0118,0.2,0.1,2019-11-06 10:44:42.0118,0.9,0.8,0.763183550347041,-1.192964718694166,0.9214254621429279,0.12370014552539511
2019-11-06 10:14:27.0124,0.3,0.3,2019-11-06 10:44:42.0124,1.0,0.8,0.7457742582009085,-1.0883550289229897,0.9630736746707876,0.11554346841699588
2019-11-06 10:14:27.0130,0.2,0.3,2019-11-06 10:44:42.0130,1.1,0.9,0.7258125470161214,-0.9825594241923672,1.0002240970598464,0.10124730734531213
2019-11-06 10:14:27.0136,0.2,0.4,2019-11-06 10:44:42.0136,1.4,1.0,0.7036588158531986,-0.8774618525975434,1.0326331178894996,0.0826304293886687
2019-11-06 10:14:27.0142,0.1,0.4,2019-11-06 10:44:42.0142,1.5,1.2,0.6796462434211419,-0.7748994847731094,1.0601043474518153,0.061186836136981684
2019-11-06 10:14:27.0148,0.0,0.4,2019-11-06 10:44:42.0148,1.6,1.3,0.6540684803720773,-0.6766205921179751,1.0825005782851218,0.03811180293230255
2019-11-06 10:14:27.0153,-0.1,0.5,2019-11-06 10:44:42.0153,1.6,1.5,0.6271700280330722,-0.5842460910621499,1.0997533826317079,0.014341190955502658
2019-11-06 10:14:27.0159,0.0,0.6,2019-11-06 10:44:42.0159,1.6,1.5,0.5991404520876836,-0.4992355713784059,1.1118692359859899,-0.009402741816760929
2019-11-06 10:14:27.0165,0.0,0.7,2019-11-06 10:44:42.0165,1.4,1.5,0.5701133187824774,-0.4228583514081785,1.1189315079491489,-0.032565443038029045
2019-11-06 10:14:27.0171,0.1,0.5,2019-11-06 10:44:42.0171,1.3,1.3,0.5401702378133956,-0.3561698408694094,1.121098232155157,-0.05471927181036714
2019-11-06 10:14:27.0177,0.0,0.3,2019-11-06 10:44:42.0177,1.1,1.0,0.5093497715140636,-0.299993204756087,1.1185961385749785,-0.07553113833687031
2019-11-06 10:14:27.0183,0.1,0.4,2019-11-06 10:44:42.0183,1.0,1.0,0.4776603856618657,-0.25490603728269257,1.1117118849474112,-0.09473984124242685
2019-11-06 10:14:27.0189,0.2,0.4,2019-11-06 10:44:42.0189,1.0,1.0,0.4450961748634628,-0.221231602408906,1.1007816623316278,-0.11214263330001986
2019-11-06 10:14:27.0195,0.2,0.6,2019-11-06 10:44:42.0195,1.1,1.1,0.4116538197123163,-0.1990343122182247,1.0861803260161547,-0.1275895655580725
2019-11-06 10:14:27.0201,0.2,0.6,2019-11-06 10:44:42.0201,1.3,1.2,0.3773491393918316,-0.1881194956137077,1.068310941891659,-0.14098398900956033
2019-11-06 10:14:27.0207,0.0,0.8,2019-11-06 10:44:42.0207,1.3,1.2,0.342231728533397,-0.18803800446716587,1.047595238234908,-0.1522879150218947
2019-11-06 10:14:27.0212,0.0,1.0,2019-11-06 10:44:42.0212,1.3,1.2,0.3063964999733092,-0.19809661783189147,1.0244650556382684,-0.16153130635176915
2019-11-06 10:14:27.0218,0.0,1.0,2019-11-06 10:44:42.0218,1.2,1.2,0.2699913761749586,-0.2173753895403624,0.9993546145077273,-0.1688244909921714
2019-11-06 10:14:27.0224,0.1,1.0,2019-11-06 10:44:42.0224,1.3,1.2,0.23322071306809414,-0.2447529453931282,0.9726933093687521,-0.17437270465540516
2019-11-06 10:14:27.0230,0.1,0.8,2019-11-06 10:44:42.0230,1.2,1.2,0.1963442197501366,-0.2789402311233386,0.9448987488066077,-0.17849137913426866
2019-11-06 10:14:27.0236,0.1,0.7,2019-11-06 10:44:42.0236,1.3,1.2,0.15967122661424996,-0.3185223938150949,0.9163698230664669,-0.18162033136188543
2019-11-06 10:14:27.0242,0.1,0.7,2019-11-06 10:44:42.0242,1.2,1.0,0.12355029864889637,-0.3620075091913671,0.8874796642833224,-0.184334550473138
2019-11-06 10:14:27.0248,0.1,0.6,2019-11-06 10:44:42.0248,1.3,1.0,0.08835448452455105,-0.40787994503495245,0.8585684686154033,-0.18734888778002343
2019-11-06 10:14:27.0254,0.0,0.3,2019-11-06 10:44:42.0254,1.2,0.8,0.0544629337116959,-0.454655412280429,0.8299362863794296,-0.19151374151321005
2019-11-06 10:14:27.0260,-0.2,0.0,2019-11-06 10:44:42.0260,1.0,0.8,0.022240141354237204,-0.5009342478762577,0.8018360590637184,-0.1977989779265762
2019-11-06 10:14:27.0266,-0.3,0.0,2019-11-06 10:44:42.0266,1.0,0.7,-0.007985403480250884,-0.5454492412483961,0.7744673763444413,-0.20726402252336068
2019-11-06 10:14:27.0272,-0.4,0.0,2019-11-06 10:44:42.0272,0.9,1.0,-0.0359410331076863,-0.5871044642803206,0.7479715986145566,-0.22101337157613668
2019-11-06 10:14:27.0277,-0.3,0.1,2019-11-06 10:44:42.0277,0.8,1.1,-0.06142601976649824,-0.6250021845401055,0.7224290791879674,-0.24013863360166834
2019-11-06 10:14:27.0283,-0.2,0.0,2019-11-06 10:44:42.0283,0.8,1.2,-0.08432223688410481,-0.6584559810550193,0.6978591811682693,-0.2656503271638561
2019-11-06 10:14:27.0289,-0.2,0.1,2019-11-06 10:44:42.0289,0.8,1.3,-0.10459836060152795,-0.6869894481910956,0.6742236112154573,-0.29840459170592154
2019-11-06 10:14:27.0295,-0.1,0.3,2019-11-06 10:44:42.0295,0.9,1.5,-0.12230750989153451,-0.7103211660952864,0.6514333077739529,-0.3390313007382841
2019-11-06 10:14:27.0301,0.0,0.4,2019-11-06 10:44:42.0301,0.9,1.5,-0.13757902746195544,-0.7283378156130099,0.6293587652586495,-0.3878705945150177
2019-11-06 10:14:27.0307,0.0,0.6,2019-11-06 10:44:42.0307,1.0,1.6,-0.15060565664244147,-0.7410583389622485,0.6078433084378619,-0.4449245437546936
2019-11-06 10:14:27.0313,0.0,0.6,2019-11-06 10:44:42.0313,1.0,1.6,-0.16162761401826659,-0.7485927888542165,0.5867185185731776,-0.5098295529326934
2019-11-06 10:14:27.0319,-0.1,0.7,2019-11-06 10:44:42.0319,1.0,1.5,-0.1709149956846558,-0.7510998654999508,0.5658208017496092,-0.581853291145871
2019-11-06 10:14:27.0325,-0.1,0.8,2019-11-06 10:44:42.0325,1.1,1.3,-0.17874964809667318,-0.748747078626453,0.5450079974393134,-0.6599175638390389
2019-11-06 10:14:27.0331,-0.2,0.9,2019-11-06 10:44:42.0331,1.0,1.3,-0.18540721032065985,-0.74167703242683,0.5241749453972786,-0.7426458697987994
2019-11-06 10:14:27.0336,-0.1,0.8,2019-11-06 10:44:42.0336,1.0,1.0,-0.19113964149736953,-0.7299825818916937,0.5032670443243481,-0.8284317609875566
