TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2007-12-20 14:37:55.0089,1.9,-1.4,2007-12-20 14:38:30.0089,0.4,0.2,2007-12-20 11:22:09.0089,2.2,0.6,2007-12-20 11:26:01.0089,0.7,1.1,0.40863275850185976,0.3568286104530258,0.356528214804608,0.35305087012109854,1.3313742681471374,0.8044140560989756,-0.5919469723879253,2.551986182281277
2007-12-20 14:37:55.0094,1.8,-1.5,2007-12-20 14:38:30.0094,0.2,0.1,2007-12-20 11:22:09.0094,2.0,0.4,2007-12-20 11:26:01.0094,0.3,1.0,0.4045028509208196,0.3561098970907463,0.3175344604761861,0.36410740967797145,1.2820708238127934,0.8169123702431749,-0.6144202911221319,2.5499351788456437
2007-12-20 14:37:55.0100,1.8,-1.6,2007-12-20 14:38:30.0100,0.0,0.1,2007-12-20 11:22:09.0100,1.9,0.5,2007-12-20 11:26:01.0100,0.2,0.9,0.3931162510201554,0.35725148200922807,0.27461708112023536,0.3741714835767104,1.2050842924431426,0.8260473925409767,-0.6427965558559906,2.5361915851028196
2007-12-20 14:37:55.0106,1.7,-1.7,2007-12-20 14:38:30.0106,0.0,0.3,2007-12-20 11:22:09.0106,1.8,0.6,2007-12-20 11:26:01.0106,0.2,0.9,0.3745112829718264,0.35976793324135975,0.22871738978167153,0.3829052746836471,1.1030979560484315,0.8319386041421489,-0.6764961903599512,2.5114804766154086
2007-12-20 14:37:55.0112,1.5,-1.6,2007-12-20 14:38:30.0112,-0.3,0.4,2007-12-20 11:22:09.0112,1.6,0.9,2007-12-20 11:26:01.0112,0.1,1.0,0.34882835410745566,0.36309888457474293,0.18080600715131864,0.3899454203094501,0.9794348568158643,0.8347820042772846,-0.71479785573233,2.4766435823827346
2007-12-20 14:37:55.0118,1.5,-1.5,2007-12-20 14:38:30.0118,-0.4,0.5,2007-12-20 11:22:09.0118,1.6,1.1,2007-12-20 11:26:01.0118,0.2,1.1,0.3163096512415066,0.36662122599355373,0.13185317259605034,0.3949138008087142,0.8379867208184382,0.8348530974402458,-0.7568538660816546,2.4326212230383737
2007-12-20 14:37:55.0124,1.2,-1.4,2007-12-20 14:38:30.0124,-0.7,0.7,2007-12-20 11:22:09.0124,1.5,1.3,2007-12-20 11:26:01.0124,0.3,1.2,0.2772968338661703,0.3696651275575943,0.08280040019236691,0.39743051281306097,0.6831223345543599,0.8325082530054196,-0.8017089458058135,2.3804363542276494
2007-12-20 14:37:55.0130,1.1,-1.3,2007-12-20 14:38:30.0130,-0.8,0.7,2007-12-20 11:22:09.0130,1.4,1.3,2007-12-20 11:26:01.0130,0.3,1.3,0.23222688418083975,0.3715335327507522,0.03453434256148842,0.3971284802189508,0.5195779323563984,0.828183632443936,-0.8483220549895718,2.3211804033833
2007-12-20 14:37:55.0136,1.0,-1.2,2007-12-20 14:38:30.0136,-0.8,0.8,2007-12-20 11:22:09.0136,1.3,1.4,2007-12-20 11:26:01.0136,0.4,1.3,0.18162632028570663,0.37152451697740174,-0.01213639026662095,0.3936690359619513,0.3523326903545277,0.8223908631282144,-0.8955911625762929,2.2560001322614744
2007-12-20 14:37:55.0142,0.8,-0.9,2007-12-20 14:38:30.0142,-1.0,0.8,2007-12-20 11:22:09.0142,1.0,1.4,2007-12-20 11:26:01.0142,0.3,1.3,0.12610399503659805,0.3689556995345859,-0.05650084632663402,0.3867577387542985,0.18647290560513982,0.8157087806037256,-0.9423809062557315,2.186084486971708
2007-12-20 14:37:55.0148,0.6,-0.8,2007-12-20 14:38:30.0148,-1.0,0.9,2007-12-20 11:22:09.0148,0.9,1.3,2007-12-20 11:26:01.0148,0.3,1.4,0.06634269260411503,0.3631897376808826,-0.09796132175949962,0.3761596689971429,0.027048888490982193,0.8087708366210036,-0.987553013066176,2.1126503302658635
2007-12-20 14:37:55.0153,0.5,-0.8,2007-12-20 14:38:30.0153,-1.1,0.8,2007-12-20 11:22:09.0153,0.8,1.1,2007-12-20 11:26:01.0153,0.2,1.4,0.003089705381362188,0.35365983210457064,-0.13604461540026214,0.36171347045813945,-0.1210710228573978,0.8022481364169202,-1.0299991699059783,2.0369260751086826
2007-12-20 14:37:55.0159,0.4,-0.8,2007-12-20 14:38:30.0159,-1.4,0.8,2007-12-20 11:22:09.0159,0.7,1.0,2007-12-20 11:26:01.0159,0.2,1.2,-0.06285346690932439,0.3398941469544176,-0.17040877323703094,0.34334346256496523,-0.253344669767643,0.7968284810754827,-1.068675758690949,1.9601325331201065
2007-12-20 14:37:55.0165,0.3,-0.9,2007-12-20 14:38:30.0165,-1.4,0.7,2007-12-20 11:22:09.0165,0.7,1.0,2007-12-20 11:26:01.0165,0.1,1.1,-0.13064220032286364,0.32153809846219256,-0.20084526620603174,0.32106923684105915,-0.3656937666070361,0.7931922013621341,-1.1026395453292468,1.8834607381415494
2007-12-20 14:37:55.0171,0.1,-1.0,2007-12-20 14:38:30.0171,-1.5,0.7,2007-12-20 11:22:09.0171,0.5,0.5,2007-12-20 11:26:01.0171,-0.1,0.7,-0.19940055876019389,0.29837358104784545,-0.2272766540691143,0.29501226319200036,-0.4546304120607264,0.7919859316536175,-1.1310830673640297,1.808047070665809
2007-12-20 14:37:55.0177,0.0,-1.2,2007-12-20 14:38:30.0177,-1.6,0.6,2007-12-20 11:22:09.0177,0.2,0.3,2007-12-20 11:26:01.0177,-0.5,0.2,-0.2682338062736377,0.27033435417098695,-0.24974990210688416,0.26539915937103487,-0.5173679113570057,0.7937957516504408,-1.1533681291265314,1.7349466188726852
2007-12-20 14:37:55.0183,-0.2,-1.4,2007-12-20 14:38:30.0183,-1.5,0.4,2007-12-20 11:22:09.0183,0.1,0.2,2007-12-20 11:26:01.0183,-0.8,0.0,-0.33624158725016845,0.23751698229375726,-0.2684256444102376,0.23256141458518503,-0.5519116500249451,0.7991212906854909,-1.1690555277207748,1.6651062483095227
2007-12-20 14:37:55.0189,-0.3,-1.4,2007-12-20 14:38:30.0189,-1.4,0.2,2007-12-20 11:22:09.0189,0.0,0.2,2007-12-20 11:26:01.0189,-0.9,0.0,-0.4025317092582735,0.20018688417546487,-0.28356382422412996,0.19693150331846185,-0.5571261633390003,0.808352408896359,-1.1779289747129524,1.5993391771131684
2007-12-20 14:37:55.0195,-0.5,-1.5,2007-12-20 14:38:30.0195,-1.3,0.0,2007-12-20 11:22:09.0195,0.2,0.4,2007-12-20 11:26:01.0195,-0.9,0.0,-0.4662344059073335,0.15877919272282584,-0.29550627456530715,0.15903547256129424,-0.5327752207617027,0.821749914436594,-1.1800112417307371,1.5383028626596225
2007-12-20 14:37:55.0201,-0.8,-1.5,2007-12-20 14:38:30.0201,-1.4,0.0,2007-12-20 11:22:09.0201,0.3,0.5,2007-12-20 11:26:01.0201,-0.8,0.1,-0.526516879982685,0.11389425038052205,-0.3046569114546566,0.1194822224197673,-0.47953275035362286,0.8394314631771316,-1.1755709007343593,1.4824816939524614
2007-12-20 14:37:55.0207,-1.0,-1.6,2007-12-20 14:38:30.0207,-1.5,-0.1,2007-12-20 11:22:09.0207,0.4,0.6,2007-12-20 11:26:01.0207,-0.6,0.2,-0.5825978365176623,0.066287680038447,-0.31146027825646694,0.07894981369826068,-0.3989636939244496,0.8613633824997375,-1.165118625294939,1.4321754630852757
2007-12-20 14:37:55.0212,-1.1,-1.7,2007-12-20 14:38:30.0212,-1.5,-0.1,2007-12-20 11:22:09.0212,0.6,0.8,2007-12-20 11:26:01.0212,-0.4,0.2,-0.6337616234194624,0.01685509906792434,-0.3163791971729398,0.038169225188412634,-0.29347524202742953,0.887358743874628,-1.1493927661356957,1.3874940208520927
2007-12-20 14:37:55.0218,-1.3,-2.0,2007-12-20 14:38:30.0218,-1.4,-0.3,2007-12-20 11:22:09.0218,0.7,0.8,2007-12-20 11:26:01.0218,-0.3,0.2,-0.6793715206121707,-0.03338829782657309,-0.3198722680737597,-0.002093937758931614,-0.16624018442279187,0.9170816385426456,-1.1293346840830192,1.3483580370329382
