record_id,eye,N35_amp,N35_ms,P50_amp,P50_ms,N95_amp,N95_ms,N95P50_ratio,mean,std,min,max,median,ptp,rms,kurt,skew,zcr,peak_freq,total_power,bp_1_30,bp_8_16
0001,RE,-0.4087173243938825,28.9,2.1998865879429337,52.5,-1.7165551478593803,91.5,0.7802925647473917,5.572884202040001e-17,1.0,-1.7165551478593803,2.1998865879429337,-0.032117001999875,3.916441735802314,1.0,-0.21715892734781672,0.4539066336571886,0.01568627450980392,13.333333333333334,0.24153109495649175,1.2079299337807838,0.0
0001,LE,-0.7127192972730138,29.5,2.394248418936633,53.699999999999996,-1.5884758647834474,92.1,0.6634549081122264,-1.1145768404080003e-16,1.0,-1.5884758647834474,2.394248418936633,-0.2360186399430493,3.9827242837200805,1.0,0.08498654410462514,0.8447908124507376,0.011764705882352941,13.333333333333334,0.23709904841008744,1.2503594356954961,0.0
0002,RE,-0.0453932119684275,31.9,1.0632058302213525,46.6,-1.1882552746010266,111.60000000000001,1.117615461489371,-5.572884202040001e-17,1.0000000000000002,-1.7418247891176653,1.552682508541305,0.0886991489046306,3.29450729765897,1.0,-1.3716356769970168,-0.06312868046149087,0.011764705882352941,6.666666666666667,0.08337280808289632,0.36090007033796195,0.0
0002,LE,,,,,-1.327167930664532,92.1,,2.716781048494501e-16,1.0,-1.327167930664532,2.346948430840177,-0.4149770601262577,3.6741163615047094,1.0,-0.8692746777818936,0.6617979482350724,0.00784313725490196,6.666666666666667,0.10588620652360908,0.24557959610959823,0.0
0002,RE,-1.6228177630726792,42.5,,,-1.3634699715529692,102.1,,2.7864421010200007e-16,1.0,-1.6228177630726792,2.7642907287387843,-0.1686204361630457,4.387108491811464,1.0,0.4454137891015799,0.8559030760977037,0.03137254901960784,13.333333333333334,0.086280218344475,0.3203474061101405,0.0
0002,LE,,,,,-1.280761468367897,95.0,,-1.1145768404080003e-16,1.0,-1.280761468367897,2.1299226470039763,0.0325622070851085,3.410684115371873,1.0,-0.6508293035185675,0.5270721768260548,0.00784313725490196,6.666666666666667,0.09538826408431864,0.33859282247227196,0.0
0003,RE,,,0.7163500459836386,57.8,-1.058305435699471,95.0,1.4773579503946073,5.572884202040001e-17,1.0,-1.4136329332637607,1.7340767591413777,-0.2433247732398087,3.1477096924051384,1.0,-1.504007083851474,0.19510943822017313,0.00392156862745098,6.666666666666667,0.08992544411166395,0.33745893014575806,0.0
0003,LE,0.1478908445461207,35.4,1.8423482456378584,56.7,-1.750947966459293,95.0,0.9503892494836552,0.0,1.0,-1.750947966459293,1.8423482456378584,-0.1071884820329162,3.5932962120971514,1.0,-0.9636896070205356,0.0278158456540004,0.00392156862745098,6.666666666666667,0.21887655472404982,1.0691481629332131,0.0
0004,RE,0.9821561498808148,39.5,1.0405517274718952,47.199999999999996,-1.1968318589019753,100.9,1.1501896804397946,5.572884202040001e-17,1.0,-1.1968318589019753,1.3471100928351063,0.1193300148690604,2.5439419517370814,1.0,-1.8132327899175098,0.03543904403364987,0.00392156862745098,6.666666666666667,0.10119389504575424,0.40950335036665736,0.0
0004,LE,,,1.8480288695578904,53.1,-0.7163108103632524,105.7,0.3876080196380361,0.0,1.0000000000000002,-1.389626663070706,1.8480288695578904,-0.3496382260898606,3.2376555326285965,1.0000000000000002,-1.135872137777512,0.5022857262346687,0.00784313725490196,6.666666666666667,0.17114221045033304,0.6318303043328406,0.0
